,age_,gender_,geolocation_,social factors,etnicity_,bias_,fairness_,fairness,concerns
TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,0,0,0,0,0,0,0,0,0
Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,0,1,0,0,0,0,0,0,1
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,1,0,1,0,0,0,1,0,1
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,1,0,0,0,0,0,0,0,1
Understanding Silent Failures in Medical Image Classification,1,0,1,0,0,0,0,0,1
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,1,0,0,0,0,1,1,0,1
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,1,1,1,0,0,0,0,0,1
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,0,0,0,0,0,0,0,0,1
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,1,0,0,0,0,0,0,0,1
VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation,1,0,0,0,0,0,0,0,1
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,0,0,0,0,0,0,1,0,1
WeakPolyp: You only Look Bounding Box for Polyp Segmentation,0,0,0,0,0,1,0,0,0
Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,1,0,1,0,0,0,1,0,1
What Do AEs Learn? Challenging Common Assumptions in Unsupervised Anomaly Detection,0,0,0,0,0,0,0,0,1
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,1,0,0,0,0,0,1,1,1
YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,0,0,0,0,0,0,1,0,1
atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,0,0,0,0,0,0,0,0,1
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,0,0,0,0,0,0,0,0,1
