Paper Title,Sentence
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans, our retrospective dataset includes two cohorts from two hospitals.
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"colorectal cancer is the third most common malignant tumor, and nearly half of all patients with colorectal cancer develop liver metastasis during the course of the disease  extensive existing works have demonstrated the power of deep learning on various spatial-temporal data, and can potentially be applied towards the problem of crlm."
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans, our retrospective dataset includes two cohorts from two hospitals.
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology," for breast cancer metastasis detection in lymph node tissue, we used wsis of h&estained healthy lymph node tissue and lymph node tissue with breast cancer metastases from the publicly available camelyon16 challenge data set  for cell of origin (coo) prediction of activated b-cell like (abc) or germinal center b-cell like (gcb) tumors in diffuse large b-cell lymphoma (dlbcl), we used data from the phase 3 goya (nct01287741) and phase 2 cavalli (nct02055820) clinical trials, hereafter referred to as ct1 and ct2, respectively."
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology," for breast cancer metastasis detection in lymph node tissue, we used wsis of h&estained healthy lymph node tissue and lymph node tissue with breast cancer metastases from the publicly available camelyon16 challenge data set  for cell of origin (coo) prediction of activated b-cell like (abc) or germinal center b-cell like (gcb) tumors in diffuse large b-cell lymphoma (dlbcl), we used data from the phase 3 goya (nct01287741) and phase 2 cavalli (nct02055820) clinical trials, hereafter referred to as ct1 and ct2, respectively."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,breast cancer (bc) is one of the most common malignant tumors in women worldwide and it causes nearly 0.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis," we evaluate the proposed method on two public datasets as herohe challenge and bci challenge, which shows that our method achieves state-of-theart performance."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,acrobat challenge.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis, the automatic registration of breast cancer tissue (acrobat) challenge  bci challenge.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,breast cancer (bc) is one of the most common malignant tumors in women worldwide and it causes nearly 0.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis," we evaluate the proposed method on two public datasets as herohe challenge and bci challenge, which shows that our method achieves state-of-theart performance."
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,acrobat challenge.
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis, the automatic registration of breast cancer tissue (acrobat) challenge  bci challenge.
Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"automatic identification of lesions from dermoscopic images is of great importance for the diagnosis of skin cancer  one approach to address the above problem is novel class discovery (ncd)  in this paper, we propose a new novel class discovery framework to automatically discover novel disease categories."
Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,"automatic identification of lesions from dermoscopic images is of great importance for the diagnosis of skin cancer  one approach to address the above problem is novel class discovery (ncd)  in this paper, we propose a new novel class discovery framework to automatically discover novel disease categories."
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"cancers are a group of heterogeneous diseases reflecting deep interactions between pathological and genomics variants in tumor tissue environments  the major goal of multimodal data learning is to extract complementary contextual information across modalities  to tackle above challenges, we propose a pathology-and-genomics multimodal framework (i."
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,"cancers are a group of heterogeneous diseases reflecting deep interactions between pathological and genomics variants in tumor tissue environments  the major goal of multimodal data learning is to extract complementary contextual information across modalities  to tackle above challenges, we propose a pathology-and-genomics multimodal framework (i."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,cervical cancer is the second most common cancer among adult women.
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement," if diagnosed early, it can be effectively treated and cured  with the development of deep learning  although the above-mentioned attempts can improve the screening performance significantly, there are several issues that need to be addressed: 1) object detection methods often require accurate annotated data to guarantee performance with robustness and generalization."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement," however, due to legal limitations, the scarcity of positive samples, and especially the subjectivity differences between cytopathologists for manual annotations  to address these issues, we propose a novel method for cervical abnormal cell detection using distillation from local-scale consistency refinement."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,cervical cancer is the second most common cancer among adult women.
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement," if diagnosed early, it can be effectively treated and cured  with the development of deep learning  although the above-mentioned attempts can improve the screening performance significantly, there are several issues that need to be addressed: 1) object detection methods often require accurate annotated data to guarantee performance with robustness and generalization."
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement," however, due to legal limitations, the scarcity of positive samples, and especially the subjectivity differences between cytopathologists for manual annotations  to address these issues, we propose a novel method for cervical abnormal cell detection using distillation from local-scale consistency refinement."
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis," in our analysis, we focused on the embedding-based configuration and on the balanced combined approach (referred to as 2/2)."
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis," in our analysis, we focused on the embedding-based configuration and on the balanced combined approach (referred to as 2/2)."
Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"breast cancer (bc) is the most common cancer diagnosed among females and the second leading cause of cancer death among women after lung cancer  among different types of imaging biomarkers, histopathological images are generally considered the golden standard for bc prognosis since they can confer important cell-level information that can reflect the aggressiveness of bc  to deal with the above challenges, several researchers began to design domain adaption algorithms, which utilize the labeled data from a related cancer subtype to help predict the patients' survival in the target domain."
Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,"breast cancer (bc) is the most common cancer diagnosed among females and the second leading cause of cancer death among women after lung cancer  among different types of imaging biomarkers, histopathological images are generally considered the golden standard for bc prognosis since they can confer important cell-level information that can reflect the aggressiveness of bc  to deal with the above challenges, several researchers began to design domain adaption algorithms, which utilize the labeled data from a related cancer subtype to help predict the patients' survival in the target domain."
Histopathology Image Classification Using Deep Manifold Contrastive Learning, the dataset for the former task was collected from 168 patients with 332 wsis from seoul national university hospital.
Histopathology Image Classification Using Deep Manifold Contrastive Learning," the k-nearest neighbors graph and the geodesic distance matrix are updated once every five training epochs, which is empirically chosen to balance running time and accuracy."
Histopathology Image Classification Using Deep Manifold Contrastive Learning, the dataset for the former task was collected from 168 patients with 332 wsis from seoul national university hospital.
Histopathology Image Classification Using Deep Manifold Contrastive Learning," the k-nearest neighbors graph and the geodesic distance matrix are updated once every five training epochs, which is empirically chosen to balance running time and accuracy."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides," to address this issue, we propose applying neighbor consistency regularization (ncr)  where d kl is the kl-divergence loss to quantify the discrepancy between two probability distributions, t represents the temperature and nn k (v i ) is the set of k nearest neighbors of v i in the feature space."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides," to address the above issues, we propose an adversarial multi-modal learning (aml) module to force the feature extractor to produce multimodal-invariant representations on multiple source images."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides," the optimization process aims to achieve a balance between these two goals, resulting in an embedding space that encodes as much information as possible about tumor-associated stroma identification while not encoding any information on the data source."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides," to address this issue, we propose applying neighbor consistency regularization (ncr)  where d kl is the kl-divergence loss to quantify the discrepancy between two probability distributions, t represents the temperature and nn k (v i ) is the set of k nearest neighbors of v i in the feature space."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides," to address the above issues, we propose an adversarial multi-modal learning (aml) module to force the feature extractor to produce multimodal-invariant representations on multiple source images."
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides," the optimization process aims to achieve a balance between these two goals, resulting in an embedding space that encodes as much information as possible about tumor-associated stroma identification while not encoding any information on the data source."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection," while previous works focused on lesion detection in still images  previous general-purpose detectors  to address this issue, we propose a novel ultradet model to leverage ntc."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"in this paper, we address the clinical challenge of real-time ultrasound lesion detection."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection," while previous works focused on lesion detection in still images  previous general-purpose detectors  to address this issue, we propose a novel ultradet model to leverage ntc."
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,"in this paper, we address the clinical challenge of real-time ultrasound lesion detection."
Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"our experiments utilized two datasets, with the first being the publicly available breast cancer dataset, camelyon16  the second dataset is a private hepatocellular carcinoma (hcc) dataset collected from sir run run shaw hospital, hangzhou, china."
Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"our experiments utilized two datasets, with the first being the publicly available breast cancer dataset, camelyon16  the second dataset is a private hepatocellular carcinoma (hcc) dataset collected from sir run run shaw hospital, hangzhou, china."
Artifact Restoration in Histology Images with Diffusion Probabilistic Models," however, the complex scanning procedure for histological wholeslide images (wsis) digitization may result in the alteration of tissue structures, due to improper removal, fixation, tissue processing, embedding, and storage  in real clinical practice, rescanning the wsis that contain artifacts can partially address this issue."
Artifact Restoration in Histology Images with Diffusion Probabilistic Models," however, the complex scanning procedure for histological wholeslide images (wsis) digitization may result in the alteration of tissue structures, due to improper removal, fixation, tissue processing, embedding, and storage  in real clinical practice, rescanning the wsis that contain artifacts can partially address this issue."
Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,breast cancer is the most prevalent form of cancer among women and can have serious physical and mental health consequences if left unchecked  deep neural networks have been widely adopted for breast cancer diagnosis to alleviate the workload of radiologists.
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"colorectal cancer (crc) remains a major health burden with elevated mortality worldwide  traditional machine learning approaches in polyp segmentation primarily focus on learning low-level features, such as texture, shape, or color distribution  despite significant progress made by these binary mask supervised models, challenges remain in accurately locating polyps, particularly in complex clinical scenarios, due to their insensitivity to complex lesions and high false-positive rates."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"  therefore, the primary challenge lies in enhancing polyp segmentation performance in complex scenarios by precisely preserving the polyp segmentation boundaries, while simultaneously maximizing the decoder's attention on the overall pattern of the polyps."
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation," in this paper, we propose a novel transformer-based polyp segmentation framework, petnet, which addresses the aforementioned challenges and achieves sota performance in locating polyps with high precision."
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"breast cancer (bc) is the most common cancer in women and incidence is increasing  authenticated by the bi-rads lexicon  the question of ""what the bi-mg would look like if they were symmetric?"
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning," training with synthetic artifacts is a low-cost but efficient way to supervise the model to better reconstruct images  the alpha weights α k is a 2d gaussian distribution map, in which the co-variance is determined by the size of k-th tumor t, representing the transparency of the pixels of the tumor."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"over 430,000 new cases of renal cancer were reported in 2020 in the world  segmentation of kidney tumors on ncct images adds challenges compared to contrast-enhanced ct (cect) images, due to low contrast and lack of multiphase images."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,"the release of two public ct image datasets with kidney and tumor masks from the 2019/2021 kidney and kidney tumor segmentation challenge  looking at the top 3 teams from each challenge  in terms of focusing on protruded regions in kidneys, our work is close to  the second protuberance detection network is the same as the base network except it starts from 8 channels instead of 16."
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network," to avoid this issue, we perform summation not concatenation to avoid the model from ignoring all output from the protuberance detection network."
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer," to fit the dirichlet distribution to the output layer of our network, we use a loss function consisting of the prediction error l p i and the evidence adjustment where λ is the annealing coefficient to balance the two terms."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,"breast cancer is the most common cancer and the leading cause of cancer death in women  with the development of computer technology, artificial intelligence-based methods have shown potential in image generation and have received extensive attention."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism," compared to existing methods, we avoid the challenges of using full-sequence mri and aim to be selective on valuable source data dwi."
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism," hierarchical fusion generation module, weighted difference module, and multisequence attention module have all been shown to improve the performance of synthesizing target images by addressing the problems of synthesis at different scales, leveraging differentiable information within and across sequences."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information," our training strategy does not specific to any tasks but challenges the network to retrieve information from another encoder with augmented inputs, which enables the network to learn from the above three aspects."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information," to address this, we apply two distinct randomized augmentations, p 1 , p 2 , to mimic the unregistered issue of the first and second course ct."
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information," although introducing the esophageal structural prior knowledge using s e can improve the performance in dsc and asd (table  however, there is no performance gain with mha as shown in table  to tackle the aforementioned problem, we propose ram which involves the concatenation of the original features with attention outputs, allowing for the preservation of convolution-generated regional tumor patterns while effectively comprehending long-range prior knowledge specific to the esophagus."
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction," deep learning-based methods for lung nodule classification have been widely studied in recent years  however, the aforementioned methods still face challenges in distinguishing visually similar samples with adjacent rank labels."
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition," however, recent research has revealed that the success of these models may be a result of overly relying on ""spurious cues"" in dermoscopic images, such as rulers, gel bubbles, dark corners, and hairs  to alleviate the artifact bias and enhance the model's generalization ability, we rethink the problem from the domain generalization (dg) perspective, where a model trained within multiple different but related domains are expected to perform well in unseen test domains."
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,"  previous dg algorithms learning domain-invariant features from source domains have succeeded in natural image tasks  to overcome the above problems, we propose an environment-aware prompt vision transformer (epvt) for domain generalization of skin lesion recognition."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,"breast cancer is a serious health problem with high incidence and wide prevalence for women throughout the world  therefore, there is a high demand for automatic and robust methods to achieve accurate breast tumor segmentation."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images," however, due to speckle noise and shadows in ultrasound images, breast tumor boundaries tend to be blurry and are difficult to be distinguished from background."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images," furthermore, the boundary and size of breast tumors are always variable and irregular  various approaches based on deep learning have been developed for tumor segmentation with promising results  to address these challenges, we present, to the best of our knowledge, the first work to adopt multi-scale features collected from large set of clinical ultrasound images for breast tumor segmentation."
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,we collected 10927 cases for this research from yunnan cancer hospital.
Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T," we developed a conditional autoencoder (cae) to solve the b 1 inhomogeneity problem, which is essential for the generation of metabolic cest contrast maps at 7t."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"following irb approval for this study, we search for patients with metastatic breast cancer who had a breast cancer mri performed between 2010 and 2020 and had morphologically positive bp on the mri report from our electronic medical records (emr) in * hospital."
B-Cos Aligned Transformers Learn Human-Interpretable Features," therefore, we choose this problem as our target."
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping," in order to circumvent these issues, in this paper we introduce a novel neuroimaging feature family, namely functional lesion network (fln) maps that are generated by our augmented lesion network mapping (a-lnm), for overall survival time prediction of gbm patients."
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping, it publicly released preprocessed restingstate fmri data of 1000 healthy right-handed subjects with an average age 21.
Intraoperative CT Augmentation for Needle-Based Liver Interventions," this leads to multiple ct acquisitions to control the progression of the needle with respect to the vessels, the target, and other sensible structures  to address this challenge, two main strategies could be considered: image fusion and image processing techniques."
Intraoperative CT Augmentation for Needle-Based Liver Interventions," this process is often described as an optimization problem  on the other hand, deep learning techniques have proven to be very efficient at solving image processing challenges  in this paper we propose an alternative approach, where a neural network learns local image features in a ncct image by leveraging the known preoperative vessel tree geometry and topology extracted from a matching (undeformed) cct."
Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network," a semi-automatic graph-cut method based on continuous max-flow has been proposed for pelvic fracture segmentation, but it still requires the manual selection of seed points and trail-and-error  fracture segmentation is still a challenging task for the learning-based method because (1) compared to the more common organ/tumor segmentation tasks where the model can implicitly learn the shape prior of an object, it is difficult to learn the shape information of a bone fragment due to the large variations in fracture types and shapes  this paper proposes a deep learning-based method to segment pelvic fracture fragments from preoperative ct images automatically."
Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing," in the case of brain tumour excision, fluorescence-guided resection is commonly used to minimize damage to healthy tissue  while hsi has been integrated into surgical microscope systems  the issue of reduced focal depth in real-time hsi systems could be mitigated by the introduction of a video autofocus system."
Surgical Video Captioning with Mutual-Modal Concept Alignment," these surgical videos are recorded at the prince of wales hospital, chinese university of hong kong, where surgeons remove pituitary tumors through the endonasal corridor to the skull base."
Learning Expected Appearances for Intraoperative Registration During Neurosurgery,we address the important problem of intraoperative patient-to-image registration in a new way by relying on preoperative data to synthesize plausible transformations and appearances that are expected to be found intraoperatively.
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery, one significant challenge in developing a flim-based classifier to detect tumor in the surgical cavity is the presence of highly imbalanced labels.
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery," to address the technical challenge of highly imbalanced label distribution and the need for intraoperative real-time cavity imaging, we developed an intraoperative flim guidance model to identify residual tumors by classifying residual cancer as anomalies."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"cancer remains a significant public health challenge worldwide, with a new diagnosis occurring every two minutes in the uk (cancer research uk  it is crucial to accurately determine the sensing area, with positive signal potentially indicating cancer or affected lymph nodes."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery, problem redefinition.
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"to validate our proposed solution for the newly formulated problem, we acquired and publicly released two new datasets."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery," since it is important to report errors in 3d and in millimeters, we recorded another dataset similar to jerry but also including ground truth depth map for all frames by using structured-lighting system  these datasets have multiple uses such as: -intersection point detection: detecting intersection points is an important problem that can bring accurate surgical cancer visualization."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery, we believe this is an under-investigated problem in surgical vision.
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"in this work, a new framework for using a laparoscopic drop-in gamma detector in manual or robotic-assisted minimally invasive cancer surgery was presented, where a laser module mock probe was utilized to provide training guidance and the problem of detecting the probe axis-tissue intersection point was transformed to laser point position inference."
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery," we believe that our problem reformulation and dataset release, together with the initial experimental results, will establish a new benchmark for the surgical vision community."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation," to this end, ureteroscope tracking and navigation is increasingly developed as a promising tool to solve these issues."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"  although these methods mentioned above work well, ureteroscopic navigation is still a challenging problem."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation," on the other hand, the complex internal structures such as calyx, papilla, and pyramids of the kidneys are difficult to be observed in ct images."
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation," these issues introduce a difficulty in directly aligning ureteroscopic video sequences to ct images, leading to a challenge of image-based continuous ureteroscopic navigation."
Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation," to address these issues mentioned above, we explore a new deep learning architecture called cascade transformer encoded boundary-aware multibranch fusion (ctbmf) networks with cascade transformers and multibranch fusion for polyp and adenoma segmentation in colonoscopic white-light and narrow-band video images."
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations," deep-learning based methods have reached the highest level of performance  to tackle this challenge, unified approaches have been proposed."
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations," finally, experiments on the challenging problem of ius and mr synthesis demonstrate the effectiveness of the proposed approach, enabling the synthesis of high-quality images while establishing a mathematically grounded formulation for unified image synthesis and outperforming non-unified gan-based approaches and the state-of-the-art method for unified multi-modal medical image synthesis."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration," two expert radiation oncologists on ct delineated both the thyroid and cricoid cartilages for structure awareness and the gross tumor volume (gtv) for clinical validation, while two expert pathologists did the same on wsis."
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration," we also compared against msv-regsynnet on its own validation dataset for generalization assessment: we yielded comparable results for the first cohort and significantly better ones for the second, which proves that structuregnet behaves well on other modalities and that the structure awareness is an essential asset for better registration, as pelvis is a location where organs are moving."
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior," however, this task is an ill-posed inverse problem: x-ray measurements are the result of attenuation integration across the body, which makes them very fig."
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior," with very few projections, it is very difficult to disentangle the structures for even coarse 3d estimation."
FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,"  while fourier domain band-pass maps help capture the pattern of the artifacts, restoring the image detail contaminated by strong artifacts may still be difficult due to the entanglement of artifacts and details in the residues."
Geometric Ultrasound Localization Microscopy, our work challenges the conventional assumption that beamforming is the ideal processing step for ulm and presents an alternative approach based on geometric reconstruction from time-of-arrival (toa) information.
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration," for local optimization, lc 2 is used in conjunction with bobyqa  from the results shown in table  note that this registration problem is much more challenging than the prior two due to difficult ultrasonic visibility in the abdomen, strong deformations, and ambiguous matches of liver vasculature."
Solving Low-Dose CT Reconstruction via GAN with Local Coherence," first, our proposed approaches are evaluated on the ""mayo-clinic low-dose ct grand challenge"" (mayo-clinic) dataset of lung ct images  the dataset contains 2250 two dimensional slices from 9 patients for training, and the remaining 128 slices from 1 patient are reserved for testing."
Solving Low-Dose CT Reconstruction via GAN with Local Coherence," to evaluate the stability and generalization of our model and the baselines trained on mayo-clinic dataset, we also test them on the rider dataset."
Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT," image guided rt (igrt) is a technique to capture the anatomy of the day using in room imaging in order to align the treatment beam with the tumor location  a major challenge especially for cbct imaging of the thorax and upperabdomen is the respiratory motion that introduces blurring of the anatomy, reducing the localization accuracy and the sharpness of the image."
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,"liver cancer is the most prevalent indication for liver surgery, and although there have been notable advancements in oncologic therapies, surgery remains as the only curative approach overall  liver laparoscopic resection has demonstrated fewer complications compared to open surgery  performing ious during laparoscopic liver surgery poses significant challenges, as laparoscopy has poor ergonomics and narrow fields of view, and on the other hand, ious demands skills to manipulate the probe and analyze images."
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images, such motion is predominant in the context highlighted above and is the source of additional nonlinearity in the pose estimation problem.
CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis," it shows superiority in model training  however, current dm-based methods focus on one-to-one mri translation, promising to be improved by many-to-one methods, which requires dedicated design to balance the multiple conditions introduced by multi-modal mri."
CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis, -propose an auto-weight adaptation to balance multi-conditions and maximise the chance of leveraging relevant multi-modal information.
LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,"colorectal cancer (crc) is the third most commonly diagnosed cancer and is the second most common cause of cancer death  to overcome these difficulties, we rely on two properties of endoscopic images: -endoluminal cavities such as the gastrointestinal tract, and in particular the human colon, are watertight surfaces."
