Paper Title,Extracted Sentence
WeakPolyp: You only Look Bounding Box for Polyp Segmentation,"then, this transformed mask is supervised by the bounding box annotation."
WeakPolyp: You only Look Bounding Box for Polyp Segmentation,this indirect supervision avoids the misleading of box-shape bias of annotations.
WeakPolyp: You only Look Bounding Box for Polyp Segmentation,"however, many regions in the predicted mask are lost in the projection and therefore get no supervision."
Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,none
FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,none
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the results reported before reveal that approaching the problem of segmentation uncertainty prediction via a regression task, where the uncertainty is expressed in terms of landmark location, is globally better than via pixel-based segmentation methods."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"it also shows that our method (n 1 , n 2 and sn 2 ) is better than the commonly-used mc-dropout."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"this is why on very noisy and poorly contrasted data, the univariate or the bivariate model might be preferable to using the asymmetric model."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"while our method works well on the tasks presented, it is worth noting that it may not be applicable to all segmentation problems like tumour segmentation."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"nevertheless, our approach is broad enough to cover many applications, especially related to segmentation that is later used for downstream tasks such as clinical metric estimation."
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,"since it is defined based on the anatomical structure of live vessels, even no intensity contrast (fig."
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,"in this paper, to tackle the aforementioned challenges, we propose a pointvoxel fusion framework that represents the liver ct in continuous points to better learn the spatial structure, while performing the convolutions in voxels to obtain the complementary semantic information of the couinaud segments."
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,"specifically, the liver mask and vessel attention maps are first extracted from the ct images, which allows us to randomly sample points embedded with vessel structure prior in the liver space and voxelize them into a voxel grid."
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"segmentation of the pulmonary vessels is the foundation for the clinical diagnosis of pulmonary vascular diseases such as pulmonary embolism (pe), pulmonary hypertension (ph) and lung cancer  in the literature, several conventional methods  to summarize, there exist several challenges for pulmonary vessel segmentation in non-contrast ct images:  to address the above challenges, we propose a h ierarchical e nhancement n etwork (henet) for pulmonary vessel segmentation in non-contrast ct images by enhancing the representation of vessels at both image-and feature-level."
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"for the input ct images, we propose an auto contrast enhancement (ace) module to automatically adjust the range of hu values in different areas of ct images."
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,none
Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,none
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,none
Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models,integrating multi-modality medical images for tumor segmentation is crucial for comprehensive diagnosis and surgical planning.
Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models,"in the clinic, the consistent information and complementary information in multi-modality medical images provide the basis for tumor diagnosis."
Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models,"for instance, the consistent anatomical structure information offers the location feature for tumor tracking  existing methods for multi-modality medical image integration can be categorized into three groups:  dempster-shafer theory (dst)  in this paper, we propose an evidence-identified ddpm (ei-ddpm) with contextual discounting for tumor segmentation via integrating multi-modality medical images."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,breast cancer is the leading cause of cancer-related fatalities among women.
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"currently, it holds the highest incidence rate of cancer among women in the u.s., and in 2022 it accounted for 31% of all newly diagnosed cancer cases  in the past decade, deep learning-based approaches achieved remarkable advancements in bus tumor classification  vision transformer (vit)  accordingly, numerous prior studies introduced modifications to the original vit network specifically designed for bus image classification  multitask learning leverages shared information across related tasks by jointly training the model."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,it constrains models to learn representations that are relevant to all tasks rather than learning task-specific details.
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"moreover, multitask learning acts as a regularizer by introducing inductive bias and prevents overfitting  in this study, we introduce a hybrid multitask approach, hybrid-mt-estan, which encompasses tumor classification as a primary task and tumor segmentation as a secondary task."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,hybrid-mt-estan combines the advantages of cnns and transformers in a framework incorporating anatomical tissue information in bus images.
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"since in medical image diagnosis achieving high sensitivity places emphasis on the detection of malignant lesions, we employed the focal loss for the classification task to trade off between sensitivity and specificity."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"because malignant tumors are more challenging to detect due to greater differences in margin, shape, and appearance in bus images, focal loss forces the model to focus more on difficult predictions."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"specifically, focal loss adds a factor (1 -p i ) γ to the cross-entropy loss where γ is a focusing parameter, resulting in in the formulation, α is a weighting coefficient, n denotes the number of image samples, t i is the target label of the i th training sample, and p i denotes the prediction."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"breast cancer is the most common cause of cancer-related deaths among women all around the world  to better support the radiologists with breast cancer diagnosis, various segmentation algorithms have been developed  although  in this study, we propose a simple yet effective weakly-supervised strategy, by using extreme points as annotations (see fig."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,dataset.
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"the batch size was 2, consisting of a random foreground patch and a random background patch located via initial segmentation y init ."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,such setting can help alleviate class imbalance issue.
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,the patch size was 128 × 128 × 96.
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"in this field, previous wsss works  meanwhile, denoising diffusion models  brain tumor segmentation."
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"brats (brain tumor segmentation challenge)  only classification labels are used during training the diffusion models, and segmentation masks are used for evaluation in the test stage."
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"for both datasets, we repeat the evaluation protocols for four times and report the average metrics and their standard deviation on test set."
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"glioma is one of the most common malignant brain tumors with varying degrees of invasiveness  with the rise of deep learning, researchers have begun to study deep learning-based image analysis methods  in recent years, models based on the self-attention mechanism, such as transformer, have received widespread attention due to their excellent performance in natural language processing (nlp)  while transformer-based models have shown effectiveness in capturing long-range dependencies, designing a transformer architecture that performs well on the samm-bts task remains challenging."
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"first, modeling relationships between 3d voxel sequences is much more difficult than 2d pixel sequences."
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"when applying 2d models, 3d images need to be sliced along one dimension."
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,datasets.
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,we use the multimodal brain tumor segmentation challenge (brats 2021  comparative experiments.
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"to evaluate the effectiveness of the proposed dbtrans, we compare it with the state-of-the-art brain tumor segmentation methods including six transformer-based networks swin-unet "
M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,none
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,"in this paper, we have proposed an eamtnet for the simultaneous segmentation and multi-index quantification of liver tumors on multi-modality ncmri."
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,the new eafa enhances edge awareness by utilizing boundary information as prior knowledge while capturing the long-range dependency of features to improve feature selection and fusion.
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,"additionally, multi-task leverages the prediction discrepancy to estimate uncertainty, thereby improving segmentation and quantification performance."
RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,none
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,none
A Sheaf Theoretic Perspective for Robust Prostate Segmentation,none
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,"transformers  the convnext architecture marries the scalability and long-range spatial representation learning capabilities of vision  in this work, we maximize the potential of a convnext design while uniquely addressing challenges of limited datasets in medical image segmentation."
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,"we present the first fully convnext 3d segmentation network, mednext, which is a scalable encoder-decoder network, and make the following contributions: mednext achieves state-of-the-art performance against baselines consisting of transformer-based, convolutional and large kernel networks."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"however, as illustrated in  beyond tumour delineation, another important use of functional images, such as pet images is their use for designing imrt dose painting (dp)."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"in particular, dose painting uses functional images to paint optimised dose prescriptions based on the spatially varying radiation sensitivities of tumours, thus enhancing the efficacy of tumour control  to address both tumour delineation and corresponding dose painting challenges, we propose to combine the expressiveness of deep cnns with the versa-tility of kspc in a unified framework, which we call kspc-net."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"in the proposed kspc-net, a cnn is employed to learn directly from the data to produce the pixel-wise bandwidth feature map and initial segmentation map, which are used to define the tuning parameters in the kspc module."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,our framework is completely automatic and differentiable.
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"more specifically, we use the classic unet  the dataset is from the hecktor challenge in miccai 2021 (head and neck tumor segmentation challenge)."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"the hecktor training dataset consists of 224 patients diagnosed with oropharyngeal cancer  in this paper, we present a novel network, kspc-net, for the segmentation in 2d pet images, which integrates kspc into the unet architecture in an end-toend differential manner."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"the kspc-net utilizes the benefits of kspc to deliver both contour-based and grid-based segmentation outcomes, leading to improved precision in the segmentation of contours."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,promising performance was achieved by our proposed kspc-net compared to the state-of-the-art approaches on the miccai 2021 challenge dataset (hecktor).
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,it is worth mentioning that the architecture of our kspc-net is not limited to head & neck cancer type and can be broadcast to different cancer types.
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,"due to the possibility of missing modalities, we will have different numbers of feature maps for fusion."
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,"to address this issue, we normalize the different attention weights by using a softmax function: that is, we only consider feature maps from those available modalities but normalize their contribution to the final fusion result, so that, the fused one has a consistent value range, no matter how many modalities are missing."
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,"then, we perform voxel-wise multiplication of the attention weight with the corresponding modal feature maps."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"despite the promising results of existing pre-operative survival prediction methods, they often overlook clinical knowledge that could aid in improving the prediction accuracy."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"notably, tumor types have been found to be strongly correlated with the prognosis of diffuse glioma  our method is evaluated using pre-operative multimodal mr brain images of 1726 diffuse glioma patients collected from cooperation hospitals and a public dataset brats2019  diffuse glioma can be classified into three histological types: the oligodendroglioma, the astrocytoma, and the glioblastoma  the tumor subtyping network is trained independently before being integrated into the backbone."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"to solve the inherent issue of imbalanced tumor type in the training data collected in clinic, a novel ordinal manifold mixup based feature augmentation is applied in the training of the tumor subtyping network."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"as f type i has strong correlation with prognosis, the performance of the backbone can be improved."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in addition, information of patient age and tumor position is also used."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"to encode the tumor position, the brain is divided into 3 × 3 × 3 blocks, and the tumor position is represented by 27 binary values (0 or 1) with each value for one block."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in the in-house dataset, the proportions of the three tumor types are 20.9% (oligodendroglioma), 28.7% (astrocytoma), and 50.4% (glioblastoma), which is consistent with the statistical report in  in the original manifold mixup  where y k i and y k j stand for the labels of the k-th tumor type of the i-th and j-th patients, respectively, and λ ∈ [0, 1] is a weighting factor."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"for binary classification, the original manifold mixup can effectively enhance the network performance, however, for the classification of more than two classes, e.g., tumor types, there exists a big issue."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,as shown in fig.
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in our experiment, both in-house and public datasets are used to evaluate our method."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"specifically, the in-house dataset collected in cooperation hospitals contains pre-operative multimodal mr images, including t1, t1 contrast enhanced (t1c), t2, and flair, of 1726 patients (age 49.7 ± 13.1) with confirmed diffuse glioma types."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"the patient number of each tumor type is 361 (oligodendroglioma), 495 (astrocytoma), and 870 (glioblastoma), respectively."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in the 1726 patients, 743 have the corresponding overall survival time (dead, non-censored), and 983 patients have the last visiting time (alive, censored)."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"besides the inhouse dataset, a public dataset brats2019, including pre-operative multimodal mr images of 210 non-censored patients (age 61.4 ± 12.2), is adopted as the external independent testing dataset."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"all images of the in-house and brats2019 datasets go through the same pre-processing stage, including image normalization and affine transformation to mni152  besides our method, four state-of-the-art methods, including random forest based method (rf)  where d = {x 1 , ..., x n } is the dataset containing all patients, t i and t j are ground truth of survival times of the i-th and j-th patients, r i and r j are the days predicted by rf, mcsp, and pgsp or risks predicted by the deep cox proportional hazard models (i.e., deepconvsurv and our method), 1 x<y = 1 if x < y, else 0, and δ i = 0 or 1 when the i-th patient is censored or non-censored."
Medical Boundary Diffusion Model for Skin Lesion Segmentation,none
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"with the emergence of multimodal datasets (e.g., brats  in addition to the progress on the fusion of multimodal features, improving the model representation ability is also an effective way to boost segmentation performance."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"in the past few years, transformer structure  although remarkable performance has been accomplished with these efforts, there still exist several challenges to be resolved."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,most existing methods are either limited to specific modality numbers due to the design of asymmetric connections or suffer from large computational complexity because of the huge amount of model parameters.
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,", where i ∈ [0, 1, 2, 3], and c = 2 (tumor and background) represents the number of segmentation classes."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"to mitigate the pixel imbalance problem, we use a combined loss of focal loss  where n refers to the total number of pixels, p t and q t denote the predicted probability and ground truth of the t-th pixel, respectively, and r = 2 is the modulation factor."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"thus, ds loss can be calculated as follows: where g i represents the ground truth after resizing and has the same size as o i ."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"in this paper, we proposed an efficient hybrid model (h-denseformer) that combines transformer and cnn for multimodal tumor segmentation."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"concretely, a multi-path parallel embedding module and a densely connected transformer block were developed and integrated to balance accuracy and computational complexity."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,extensive experimental results demonstrated the effectiveness and superiority of our proposed h-denseformer.
TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,none
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,"furthermore, most of the existing methods do not localize segmentation errors, which is meaningful for both auditing purposes and guiding manual refinement."
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,"to address these challenges, we propose a novel framework for joint subject-level and voxel-level prediction of segmentation quality from multimodal mri."
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,the contribution of this work is four-fold.
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,the dice loss and cross-entropy loss were averaged across the number of pixels i in a batch.
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,"the two parts are combined using a weight parameter λ to balance the different loss components: 3 experiments for this study, pre-operative multimodal mri scans of varying grades of glioma were obtained from the 2021 brain tumor segmentation (brats) challenge  in this work, we proposed a novel cnn architecture called qcresunet to perform automatic brain tumor segmentation qc in multimodal mri scans."
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,qcre-sunet simultaneously provides subject-level segmentation-quality prediction and localizes segmentation failures at the voxel level.
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,malignant melanoma is one of the most rapidly growing cancers in the world.
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,"as estimated by the american cancer society, there were approximately 100,350 new cases and over 6,500 deaths in 2020  transunet  prior works have enhanced performance by introducing intricate modules, but neglected the constraint of computational resources in real medical settings."
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,"hence, there is an urgent need to design a low-parameter and low-computational load model for segmentation tasks in mobile healthcare."
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"for a second step, we train the sm that integrates the previously learned latent kinetic code to provide tumor hemodynamic information for voxel-level prediction."
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"considering the varying sizes, shapes and appearances of tumors that results from intratumor heterogeneity and results in difficulties of accurate cancer annotation, we design the segmentation loss as follows: where l ssim is used to evaluate tumor structural characteristics, s and g represents segmentation map and ground truth, respectively; μ s is the mean of s and μ g is the mean of g; ϕ s represents the variance of s and ϕ g represents the variance of g; c 1 and c 2 denote the constant to hold training stable  where k 1 is set as 0.01, k 2 is set as 0.03 and l is set as the range of voxel values."
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"dataset: to demonstrate the effectiveness of our proposed dkm, we evaluate our method on 4d dce-mri breast cancer segmentation using the breast-mri-nact-pilot dataset  we propose a diffusion kinetic model by exploiting hemodynamic priors in dce-mri to effectively generate high-quality segmentation results only requiring precontrast images."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,"accurate gland segmentation from whole slide images (wsis) plays a crucial role in the diagnosis and prognosis of cancer, as the morphological features of glands can provide valuable information regarding tumor aggressiveness  to reduce the annotation cost, developing annotation-efficient methods for semantic-level gland segmentation has attracted much attention  one potential solution is to adopt unsupervised semantic segmentation (uss) methods which have been successfully applied to medical image research and natural image research."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,"on the one hand, existing uss methods have shown promising results in various medical modalities, e.g., magnetic resonance images  x-ray images  to tackle the above challenges, our solution is to incorporate an empirical cue about gland morphology as additional knowledge to guide gland segmentation."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,the cue can be described as: each gland is comprised of a border region with high gray levels that surrounds the interior epithelial tissues.
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,"ultimately, our method produces well-delineated and complete predictions; see fig."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,"our contributions are as follows: (1) we identify the major challenge encountered by prior unsupervised semantic segmentation (uss) methods when dealing with gland images, and propose a novel mssg for unsupervised gland segmentation."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,our method comprises the efficient hybrid encoder and the edgeoriented transformer decoder.
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,the encoder effectively extracts features from images by striking a balance between cnn and transformer architectures.
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,the decoder integrates the sobel and laplacian edge detection filters into our edgeoriented modules that enhance the extraction capability of edge and texture information.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"specifically, a typical lyme lesion exhibits a bull's eye pattern with one central redness and one outer circle, which is different from darkness lesion in cancer-related skin disease like melanoma."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"furthermore, clinical data collected for training is usually imbalanced in some properties, e.g., more samples with light skins compared with dark skins."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"therefore, existing skin disease segmentation  in this paper, we present the first lyme disease dataset that contains labeled segmentation and skin tones."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"dark), and lesionconducted under clinician supervision and institutional review boards (irb) approval."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"our dataset with manual labels is available at this url  secondly, we design a simple yet novel data preprocessing and alternation method, called edgemixup, to improve lyme disease segmentation and diagnosis fairness on samples with different skin-tones."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,the key insight is to alter a skin image with a linear combination of the source image and a detected lesion boundary so that the lesion structure is preserved while minimizing skin tone information.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,such an improvement is an iterative process that gradually improves lesion edge detection and segmentation fairness until convergence.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"then, the detected, converged edge in the first step also helps classification of lyme diseases via mixup with improved fairness."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,our source code is available at this url  we evaluate edgemixup for skin disease segmentation and classification tasks.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,our results show that edgemixup is able to increase segmentation utility and improve fairness.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"we also show that the improved segmentation further improves classification fairness as well as joint fairness-utility metrics compared to existing debiasing methods, e.g., ad "
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"head and neck (h&n) cancer refers to malignant tumors in h&n regions, which is among the most common cancers worldwide  traditional survival prediction methods are usually based on radiomics  firstly, existing deep survival models are underdeveloped in utilizing complementary multi-modality information, such as the metabolic and anatomical information in pet and ct images."
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"for survival prediction in h&n cancer, existing methods usually use single imaging modality  secondly, although deep survival models have advantages in performing end-to-end survival prediction without requiring tumor masks, this also incurs difficulties in extracting region-specific information, such as the prognostic information in primary tumor (pt) and metastatic lymph node (mln) regions."
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"to address this limitation, recent deep survival models adopted multi-task learning for joint tumor segmentation and survival prediction, to implicitly guide the model to extract features related to tumor regions  in this study, we design an x-shape merging-diverging hybrid transformer network (named xsurv, fig."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,histological features allow visual readout of cancer biology as they represent the overall impact of genetic changes on cells  the great rise of deep learning in the past decade and our ability to digitize histopathology slides using high-throughput slide scanners have fueled interests in the applications of deep learning in histopathology image analysis.
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"the majority of the efforts, so far, focus on the deployment of these models for diagnosis and classification  in the machine learning domain, patient prognostication can be treated as a weakly supervised problem, which a model would predict the outcome (e.g., time to cancer recurrence) based on the histopathology images."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"their majority have utilized multiple instance learning (mil)  to address this issue, graph neural networks (gnn) have recently received more attention in histology."
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,this study is not human subjects research because it was a secondary analysis of results from biological specimens that were not collected for the purpose of the current study and for which the samples were fully anonymized.
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,this work was supported by msk cancer center support grant/core grant (p30 ca008748) and by james and esther king biomedical research grant (7jk02) and moffitt merit society award to c.
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,h.
Detection of Basal Cell Carcinoma in Whole Slide Images,"to improve the efficiency and accuracy of the search, we developed a new framework named sc-net, which focuses on identifying highly valuable architectures."
Detection of Basal Cell Carcinoma in Whole Slide Images,"we observed that conventional nas methods often overlook fairness ranking during the search, hindering the search for optimal solutions."
Detection of Basal Cell Carcinoma in Whole Slide Images,our sc-net framework addresses this by ensuring fair training and precise ranking.
Detection of Basal Cell Carcinoma in Whole Slide Images,comparison with related methods.
Detection of Basal Cell Carcinoma in Whole Slide Images,"to ensure a fair comparison on our dataset, we selected several papers in the field of pathological image analysis, such as  evaluation metrics."
Detection of Basal Cell Carcinoma in Whole Slide Images,"our model was evaluated on: as shown in table  in this paper, we introduce sc-net, a novel nas framework for skin cancer detection in pathology images."
Detection of Basal Cell Carcinoma in Whole Slide Images,"by formulating sc-net as a balanced supernet, we ensure fair ranking and treatment of all potential architectures."
Detection of Basal Cell Carcinoma in Whole Slide Images,"with scnet and evolutionary search, we obtained optimal architectures, achieving 96.2% top-1 and 96.5% accuracy on a skin cancer dataset, improvements of 4.8% and 4.7% over baselines."
IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,none
Multi-scale Prototypical Transformer for Whole Slide Image Classification,histopathological images are regarded as the 'gold standard' in the diagnosis of cancers.
Multi-scale Prototypical Transformer for Whole Slide Image Classification,"with the advent of the whole slide image (wsi) scanner, deep learning has gained its reputation in the field of computational pathology  to address this issue, multiple instance learning (mil) has been successfully applied to the wsi classification task as a weakly supervised learning problem  recently, prototypical learning is applied in wsi analysis to identify representative instances in the bag  on the other hand, when pathologists analysis the wsis, they always observe the tissues at various resolutions  in this work, we propose a multi-scale prototypical transformer (mspt) for wsi classification."
