,title
283,Consistency-Guided Meta-learning for Bootstrapping Semi-supervised Medical Image Segmentation (vol4) (vol4)
284,Elongated Physiological Structure Segmentation via Spatial and Scale Uncertainty-Aware Network (vol4) (vol4)
285,EchoGLAD: Hierarchical Graph Neural Networks for Left Ventricle Landmark Detection on Echocardiograms (vol4) (vol4)
286,GL-Fusion: Global-Local Fusion Network for Multi-view Echocardiogram Video Segmentation (vol4) (vol4)
287,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation (vol4) (vol4)
288,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness (vol4) (vol4)
289,Scaling up 3D Kernels with Bayesian Frequency Re-parameterization for Medical Image Segmentation (vol4) (vol4)
290,Evolutionary Normalization Optimization Boosts Semantic Segmentation Network Performance (vol4) (vol4)
291,Factor Space and Spectrum for Medical Hyperspectral Image Segmentation (vol4) (vol4)
292,Adult-Like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation (vol4) (vol4)
293,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer (vol5) (vol5)
294,Wall Thickness Estimation from Short Axis Ultrasound Images via Temporal Compatible Deformation Learning (vol5) (vol5)
295,DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification (vol5) (vol5)
296,Polar Eyeball Shape Net for 3D Posterior Ocular Shape Representation (vol5) (vol5)
297,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment (vol5) (vol5)
298,A One-Class Variational Autoencoder (OCVAE) Cascade for Classifying Atypical Bone Marrow Cell Sub-types (vol5) (vol5)
299,SegNetr: Rethinking the Local-Global Interactions and Skip Connections in U-Shaped Networks (vol5) (vol5)
300,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation (vol5) (vol5)
301,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment (vol5) (vol5)
302,Detection of Basal Cell Carcinoma in Whole Slide Images (vol5) (vol5)
303,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis (vol5) (vol5)
304,Multi-scale Prototypical Transformer for Whole Slide Image Classification (vol5) (vol5)
305,SCOL: Supervised Contrastive Ordinal Loss for Abdominal Aortic Calcification Scoring on Vertebral Fracture Assessment Scans (vol5) (vol5)
306,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness (vol5) (vol5)
307,Mitral Regurgitation Quantification from Multi-channel Ultrasound Images via Deep Learning (vol5) (vol5)
308,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity (vol5) (vol5)
309,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer (vol5) (vol5)
310,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models (vol5) (vol5)
311,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model (vol5) (vol5)
312,Coupling Bracket Segmentation and Tooth Surface Reconstruction on 3D Dental Models (vol5) (vol5)
313,Whole-Heart Reconstruction with Explicit Topology Integrated Learning (vol5) (vol5)
314,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning (vol5) (vol5)
315,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images (vol5) (vol5)
316,Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-Empowered Learning (vol5) (vol5)
317,Diffusion-Based Hierarchical Multi-label Object Detection to Analyze Panoramic Dental X-Rays (vol5) (vol5)
318,MulHiST: Multiple Histological Staining for Thick Biological Samples via Unsupervised Image-to-Image Translation (vol5) (vol5)
319,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images (vol5) (vol5)
320,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs (vol5) (vol5)
321,Gradient and Feature Conformity-Steered Medical Image Classification with Noisy Labels (vol5) (vol5)
322,Forensic Histopathological Recognition via a Context-Aware MIL Network Powered by Self-supervised Contrastive Learning (vol5) (vol5)
323,ProtoASNet: Dynamic Prototypes for Inherently Interpretable and Uncertainty-Aware Aortic Stenosis Classification in Echocardiography (vol5) (vol5)
324,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis (vol5) (vol5)
325,Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk (vol5) (vol5)
326,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans (vol5) (vol5)
327,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology (vol5) (vol5)
328,HC-Net: Hybrid Classification Network for Automatic Periodontal Disease Diagnosis (vol5) (vol5)
329,Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model (vol5) (vol5)
330,Transformer-Based End-to-End Classification of Variable-Length Volumetric Data (vol5) (vol5)
331,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening (vol5) (vol5)
332,Frequency-Mixed Single-Source Domain Generalization for Medical Image Segmentation (vol5) (vol5)
333,Vision Transformer Based Multi-class Lesion Detection in IVOCT (vol5) (vol5)
334,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification (vol5) (vol5)
335,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark (vol5) (vol5)
336,Zero-Shot Nuclei Detection via Visual-Language Pre-trained Models (vol5) (vol5)
337,A Semantic-Guided and Knowledge-Based Generative Framework for Orthodontic Visual Outcome Preview (vol5) (vol5)
338,Joint Segmentation and Sub-pixel Localization in Structured Light Laryngoscopy (vol5) (vol5)
339,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis (vol5) (vol5)
340,Accurate and Robust Patient Height and Weight Estimation in Clinical Imaging Using a Depth Camera (vol5) (vol5)
341,Segment Membranes and Nuclei from Histopathological Images via Nuclei Point-Level Supervision (vol5) (vol5)
342,Cross-View Deformable Transformer for Non-displaced Hip Fracture Classification from Frontal-Lateral X-Ray Pair (vol5) (vol5)
343,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions (vol5) (vol5)
344,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering (vol5) (vol5)
345,Enhancing Automatic Placenta Analysis Through Distributional Feature Recomposition in Vision-Language Contrastive Learning (vol5) (vol5)
346,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023 (vol5) (vol5)
347,Interpretable Deep Biomarker for Serial Monitoring of Carotid Atherosclerosis Based on Three-Dimensional Ultrasound Imaging (vol5) (vol5)
348,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction (vol5) (vol5)
349,Improving Pathology Localization: Multi-series Joint Attention Takes the Lead (vol5) (vol5)
350,Combat Long-Tails in Medical Classification with Relation-Aware Consistency and Virtual Features Compensation (vol5) (vol5)
351,A Style Transfer-Based Augmentation Framework for Improving Segmentation and Classification Performance Across Different Sources in Ultrasound Images (vol5) (vol5)
352,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement (vol5) (vol5)
353,StainDiff: Transfer Stain Styles of Histology Images with Denoising Diffusion Probabilistic Models and Self-ensemble (vol5) (vol5)
354,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis (vol5) (vol5)
355,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors (vol5) (vol5)
356,Multi-modality Contrastive Learning for Sarcopenia Screening from Hip X-rays and Clinical Information (vol5) (vol5)
357,Gene-Induced Multimodal Pre-training for Image-Omic Classification (vol5) (vol5)
358,Histopathology Image Classification Using Deep Manifold Contrastive Learning (vol5) (vol5)
359,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides (vol5) (vol5)
360,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction (vol5) (vol5)
361,TCEIP: Text Condition Embedded Regression Network for Dental Implant Position Prediction (vol5) (vol5)
362,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection (vol5) (vol5)
363,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification (vol5) (vol5)
364,TSegFormer: 3D Tooth Segmentation in Intraoral Scans with Geometry Guided Transformer (vol5) (vol5)
365,Artifact Restoration in Histology Images with Diffusion Probabilistic Models (vol5) (vol5)
366,STAR-Echo: A Novel Biomarker for Prognosis of MACE in Chronic Kidney Disease Patients Using Spatiotemporal Analysis and Transformer-Based Radiomics Models (vol5) (vol5)
367,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound (vol5) (vol5)
368,A Novel Multi-task Model Imitating Dermatologists for Accurate Differential Diagnosis of Skin Diseases in Clinical Images (vol5) (vol5)
369,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer (vol6) (vol6)
370,Wall Thickness Estimation from Short Axis Ultrasound Images via Temporal Compatible Deformation Learning (vol6) (vol6)
371,DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification (vol6) (vol6)
372,Polar Eyeball Shape Net for 3D Posterior Ocular Shape Representation (vol6) (vol6)
373,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment (vol6) (vol6)
374,A One-Class Variational Autoencoder (OCVAE) Cascade for Classifying Atypical Bone Marrow Cell Sub-types (vol6) (vol6)
375,SegNetr: Rethinking the Local-Global Interactions and Skip Connections in U-Shaped Networks (vol6) (vol6)
376,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation (vol6) (vol6)
377,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment (vol6) (vol6)
378,Detection of Basal Cell Carcinoma in Whole Slide Images (vol6) (vol6)
379,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis (vol6) (vol6)
380,Multi-scale Prototypical Transformer for Whole Slide Image Classification (vol6) (vol6)
381,SCOL: Supervised Contrastive Ordinal Loss for Abdominal Aortic Calcification Scoring on Vertebral Fracture Assessment Scans (vol6) (vol6)
382,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness (vol6) (vol6)
383,Mitral Regurgitation Quantification from Multi-channel Ultrasound Images via Deep Learning (vol6) (vol6)
384,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity (vol6) (vol6)
385,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer (vol6) (vol6)
386,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models (vol6) (vol6)
387,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model (vol6) (vol6)
388,Coupling Bracket Segmentation and Tooth Surface Reconstruction on 3D Dental Models (vol6) (vol6)
389,Whole-Heart Reconstruction with Explicit Topology Integrated Learning (vol6) (vol6)
390,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning (vol6) (vol6)
391,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images (vol6) (vol6)
392,Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-Empowered Learning (vol6) (vol6)
393,Diffusion-Based Hierarchical Multi-label Object Detection to Analyze Panoramic Dental X-Rays (vol6) (vol6)
394,MulHiST: Multiple Histological Staining for Thick Biological Samples via Unsupervised Image-to-Image Translation (vol6) (vol6)
395,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images (vol6) (vol6)
396,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs (vol6) (vol6)
397,Gradient and Feature Conformity-Steered Medical Image Classification with Noisy Labels (vol6) (vol6)
398,A Multi-task Method for Immunoﬁxation Electrophoresis Image Classiﬁcation (vol6) (vol6)
399,Forensic Histopathological Recognition via a Context-Aware MIL Network Powered by Self-supervised Contrastive Learning (vol6) (vol6)
400,ProtoASNet: Dynamic Prototypes for Inherently Interpretable and Uncertainty-Aware Aortic Stenosis Classification in Echocardiography (vol6) (vol6)
401,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis (vol6) (vol6)
402,Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk (vol6) (vol6)
403,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans (vol6) (vol6)
404,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology (vol6) (vol6)
405,HC-Net: Hybrid Classification Network for Automatic Periodontal Disease Diagnosis (vol6) (vol6)
406,Anatomical Landmark Detection Using a Multiresolution Learning Approach with a Hybrid Transformer-CNN Model (vol6) (vol6)
407,Transformer-Based End-to-End Classification of Variable-Length Volumetric Data (vol6) (vol6)
408,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening (vol6) (vol6)
409,Frequency-Mixed Single-Source Domain Generalization for Medical Image Segmentation (vol6) (vol6)
410,Vision Transformer Based Multi-class Lesion Detection in IVOCT (vol6) (vol6)
411,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification (vol6) (vol6)
412,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark (vol6) (vol6)
413,Zero-Shot Nuclei Detection via Visual-Language Pre-trained Models (vol6) (vol6)
414,AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes (vol6) (vol6)
415,A Semantic-Guided and Knowledge-Based Generative Framework for Orthodontic Visual Outcome Preview (vol6) (vol6)
416,Joint Segmentation and Sub-pixel Localization in Structured Light Laryngoscopy (vol6) (vol6)
417,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis (vol6) (vol6)
418,Accurate and Robust Patient Height and Weight Estimation in Clinical Imaging Using a Depth Camera (vol6) (vol6)
419,Segment Membranes and Nuclei from Histopathological Images via Nuclei Point-Level Supervision (vol6) (vol6)
420,Cross-View Deformable Transformer for Non-displaced Hip Fracture Classification from Frontal-Lateral X-Ray Pair (vol6) (vol6)
421,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions (vol6) (vol6)
422,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering (vol6) (vol6)
423,Enhancing Automatic Placenta Analysis Through Distributional Feature Recomposition in Vision-Language Contrastive Learning (vol6) (vol6)
424,Interpretable Deep Biomarker for Serial Monitoring of Carotid Atherosclerosis Based on Three-Dimensional Ultrasound Imaging (vol6) (vol6)
425,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction (vol6) (vol6)
426,Improving Pathology Localization: Multi-series Joint Attention Takes the Lead (vol6) (vol6)
427,Combat Long-Tails in Medical Classification with Relation-Aware Consistency and Virtual Features Compensation (vol6) (vol6)
428,A Style Transfer-Based Augmentation Framework for Improving Segmentation and Classification Performance Across Different Sources in Ultrasound Images (vol6) (vol6)
429,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement (vol6) (vol6)
430,StainDiff: Transfer Stain Styles of Histology Images with Denoising Diffusion Probabilistic Models and Self-ensemble (vol6) (vol6)
431,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis (vol6) (vol6)
432,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors (vol6) (vol6)
433,Multi-modality Contrastive Learning for Sarcopenia Screening from Hip X-rays and Clinical Information (vol6) (vol6)
434,Gene-Induced Multimodal Pre-training for Image-Omic Classification (vol6) (vol6)
435,Histopathology Image Classification Using Deep Manifold Contrastive Learning (vol6) (vol6)
436,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides (vol6) (vol6)
437,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction (vol6) (vol6)
438,TCEIP: Text Condition Embedded Regression Network for Dental Implant Position Prediction (vol6) (vol6)
439,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection (vol6) (vol6)
440,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification (vol6) (vol6)
441,TSegFormer: 3D Tooth Segmentation in Intraoral Scans with Geometry Guided Transformer (vol6) (vol6)
442,Artifact Restoration in Histology Images with Diffusion Probabilistic Models (vol6) (vol6)
443,STAR-Echo: A Novel Biomarker for Prognosis of MACE in Chronic Kidney Disease Patients Using Spatiotemporal Analysis and Transformer-Based Radiomics Models (vol6) (vol6)
444,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound (vol6) (vol6)
445,A Novel Multi-task Model Imitating Dermatologists for Accurate Differential Diagnosis of Skin Diseases in Clinical Images (vol6) (vol6)
446,MSKdeX: Musculoskeletal (MSK) Decomposition from an X-Ray Image for Fine-Grained Estimation of Lean Muscle Mass and Muscle Volume (vol7) (vol7)
447,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency (vol7) (vol7)
448,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification (vol7) (vol7)
449,CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows (vol7) (vol7)
450,Fundus-Enhanced Disease-Aware Distillation Model for Retinal Disease Classification from OCT Images (vol7) (vol7)
451,SPR-Net: Structural Points Based Registration for Coronary Arteries Across Systolic and Diastolic Phases (vol7) (vol7)
452,Eye-Guided Dual-Path Network for Multi-organ Segmentation of Abdomen (vol7) (vol7)
453,Topology-Preserving Automatic Labeling of Coronary Arteries via Anatomy-Aware Connection Classifier (vol7) (vol7)
454,3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer (vol7) (vol7)
455,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation (vol7) (vol7)
456,Virtual Heart Models Help Elucidate the Role of Border Zone in Sustained Monomorphic Ventricular Tachycardia (vol7) (vol7)
457,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning (vol7) (vol7)
458,ModusGraph: Automated 3D and 4D Mesh Model Reconstruction from Cine CMR with Improved Accuracy and Efficiency (vol7) (vol7)
459,Full Image-Index Remainder Based Single Low-Dose DR (vol7) (vol7)
460,Forward-Solution Aided Deep-Learning Framework for Patient-Specific Noninvasive Cardiac Ectopic Pacing Localization (vol7) (vol7)
461,Robust Hough and Spatial-To-Angular Transform Based Rotation Estimation for Orthopedic X-Ray Images (vol7) (vol7)
462,"Representation, Alignment, Fusion: A Generic Transformer-Based Framework for Multi-modal Glaucoma Recognition (vol7) (vol7)"
463,WarpEM: Dynamic Time Warping for Accurate Catheter Registration in EM-Guided Procedures (vol7) (vol7)
464,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network (vol7) (vol7)
465,Conditional Physics-Informed Graph Neural Network for Fractional Flow Reserve Assessment (vol7) (vol7)
466,AngioMoCo: Learning-Based Motion Correction in Cerebral Digital Subtraction Angiography (vol7) (vol7)
467,A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images (vol7) (vol7)
468,Towards Expert-Amateur Collaboration: Prototypical Label Isolation Learning for Left Atrium Segmentation with Mixed-Quality Labels (vol7) (vol7)
469,Tensor-Based Multimodal Learning for Prediction of Pulmonary Arterial Wedge Pressure from Cardiac MRI (vol7) (vol7)
470,DMCVR: Morphology-Guided Diﬀusion Model for 3D Cardiac Volume Reconstruction (vol7) (vol7)
471,Skin Lesion Correspondence Localization in Total Body Photography (vol7) (vol7)
472,Retinal Thickness Prediction from Multi-modal Fundus Photography (vol7) (vol7)
473,ASC: Appearance and Structure Consistency for Unsupervised Domain Adaptation in Fetal Brain MRI Segmentation (vol7) (vol7)
474,Efficient Spatiotemporal Learning of Microscopic Video for Augmented Reality-Guided Phacoemulsification Cataract Surgery (vol7) (vol7)
475,Content-Preserving Diffusion Model for Unsupervised AS-OCT Image Despeckling (vol7) (vol7)
476,Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection (vol7) (vol7)
477,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer (vol7) (vol7)
478,Lesion-Aware Contrastive Learning for Diabetic Retinopathy Diagnosis (vol7) (vol7)
479,Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes (vol7) (vol7)
480,Simulation-Based Parameter Optimization for Fetal Brain MRI Super-Resolution Reconstruction (vol7) (vol7)
481,CenterlinePointNet++: A New Point Cloud Based Architecture for Coronary Artery Pressure Drop and vFFR Estimation (vol7) (vol7)
482,Retinal Age Estimation with Temporal Fundus Images Enhanced Progressive Label Distribution Learning (vol7) (vol7)
483,Shape-Based Pose Estimation for Automatic Standard Views of the Knee (vol7) (vol7)
484,A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference (vol7) (vol7)
485,Improving Automatic Fetal Biometry Measurement with Swoosh Activation Function (vol7) (vol7)
486,UM-CAM: Uncertainty-weighted Multi-resolution Class Activation Maps for Weakly-supervised Fetal Brain Segmentation (vol7) (vol7)
487,Polar-Net: A Clinical-Friendly Model for Alzheimer's Disease Detection in OCTA Images (vol7) (vol7)
488,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism (vol7) (vol7)
489,An Automated Pipeline for Quantitative T2* Fetal Body MRI and Segmentation at Low Field (vol7) (vol7)
490,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma (vol7) (vol7)
491,UWAT-GAN: Fundus Fluorescein Angiography Synthesis via Ultra-Wide-Angle Transformation Multi-scale GAN (vol7) (vol7)
492,Automated CT Lung Cancer Screening Workflow Using 3D Camera (vol7) (vol7)
493,A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy (vol7) (vol7)
494,Context-Aware Pseudo-label Refinement for Source-Free Domain Adaptive Fundus Image Segmentation (vol7) (vol7)
495,PCMC-T1: Free-Breathing Myocardial T1 Mapping with Physically-Constrained Motion Correction (vol7) (vol7)
496,TabAttention: Learning Attention Conditionally on Tabular Data (vol7) (vol7)
497,Medical Phrase Grounding with Region-Phrase Context Contrastive Alignment (vol7) (vol7)
498,Speech Audio Synthesis from Tagged MRI and Non-negative Matrix Factorization via Plastic Transformer (vol7) (vol7)
499,VF-HM: Vision Loss Estimation Using Fundus Photograph for High Myopia (vol7) (vol7)
500,AirwayFormer: Structure-Aware Boundary-Adaptive Transformers for Airway Anatomical Labeling (vol7) (vol7)
501,Incomplete Multimodal Learning for Visual Acuity Prediction After Cataract Surgery Using Masked Self-Attention (vol7) (vol7)
502,"FEDD - Fair, Efficient, and Diverse Diffusion-Based Lesion Segmentation and Malignancy Classification (vol7) (vol7)"
503,Twelve-Lead ECG Reconstruction from Single-Lead Signals Using Generative Adversarial Networks (vol7) (vol7)
504,HACL-Net: Hierarchical Attention and Contrastive Learning Network for MRI-Based Placenta Accreta Spectrum Diagnosis (vol7) (vol7)
505,Source-Free Domain Adaptation for Medical Image Segmentation via Prototype-Anchored Feature Alignment and Contrastive Learning (vol7) (vol7)
506,Optimizing the 3D Plate Shape for Proximal Humerus Fractures (vol7) (vol7)
507,Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration (vol7) (vol7)
508,Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma (vol7) (vol7)
509,Robust Estimation of the Microstructure of the Early Developing Brain Using Deep Learning (vol7) (vol7)
510,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information (vol7) (vol7)
511,CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction (vol7) (vol7)
512,Semantic Difference Guidance for the Uncertain Boundary Segmentation of CT Left Atrial Appendage (vol7) (vol7)
513,Topology Repairing of Disconnected Pulmonary Airways and Vessels: Baselines and a Dataset (vol7) (vol7)
514,EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition (vol7) (vol7)
515,Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data (vol7) (vol7)
516,Geometry-Adaptive Network for Robust Detection of Placenta Accreta Spectrum Disorders (vol7) (vol7)
517,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images (vol7) (vol7)
518,Machine Learning for Automated Mitral Regurgitation Detection from Cardiac Imaging (vol7) (vol7)
519,Revolutionizing Space Health (Swin-FSR): Advancing Super-Resolution of Fundus Images for SANS Visual Assessment Technology (vol7) (vol7)
520,Reliable Multimodality Eye Disease Screening via Mixture of Student’s t Distributions (vol7) (vol7)
521,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers (vol8) (vol8)
522,Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T (vol8) (vol8)
523,PAS-Net: Rapid Prediction of Antibiotic Susceptibility from Fluorescence Images of Bacterial Cells Using Parallel Dual-Branch Network (vol8) (vol8)
524,Exploring Brain Function-Structure Connectome Skeleton via Self-supervised Graph-Transformer Approach (vol8) (vol8)
525,Generating Realistic Brain MRIs via a Conditional Diffusion Probabilistic Model (vol8) (vol8)
526,Diffusion-Based Data Augmentation for Nuclei Image Segmentation (vol8) (vol8)
527,FE-STGNN: Spatio-Temporal Graph Neural Network with Functional and Effective Connectivity Fusion for MCI Diagnosis (vol8) (vol8)
528,Mitosis Detection from Partial Annotation by Dataset Generation via Frame-Order Flipping (vol8) (vol8)
529,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set (vol8) (vol8)
530,Joint Representation of Functional and Structural Profiles for Identifying Common and Consistent 3-Hinge Gyral Folding Landmark (vol8) (vol8)
531,Neural Pre-processing: A Learning Framework for End-to-End Brain MRI Pre-processing (vol8) (vol8)
532,Dynamic Graph Neural Representation Based Multi-modal Fusion Model for Cognitive Outcome Prediction in Stroke Cases (vol8) (vol8)
533,Weakly Supervised Cerebellar Cortical Surface Parcellation with Self-Visual Representation Learning (vol8) (vol8)
534,Development and Fast Transferring of General Connectivity-Based Diagnosis Model to New Brain Disorders with Adaptive Graph Meta-Learner (vol8) (vol8)
535,Community-Aware Transformer for Autism Prediction in fMRI Connectome (vol8) (vol8)
536,Unified Surface and Volumetric Inference on Functional Imaging Data (vol8) (vol8)
537,Disentangling Site Effects with Cycle-Consistent Adversarial Autoencoder for Multi-site Cortical Data Harmonization (vol8) (vol8)
538,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging (vol8) (vol8)
539,Learning Asynchronous Common and Individual Functional Brain Network for AD Diagnosis (vol8) (vol8)
540,Domain-Agnostic Segmentation of Thalamic Nuclei from Joint Structural and Diffusion MRI (vol8) (vol8)
541,Unsupervised Learning for Feature Extraction and Temporal Alignment of 3D+t Point Clouds of Zebrafish Embryos (vol8) (vol8)
542,Prior-Driven Dynamic Brain Networks for Multi-modal Emotion Recognition (vol8) (vol8)
