,title,extracted_dataset_sent,
137,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,"we conduct extensive experiments on a public breast lesion ultrasound video
dataset, named bluvd-186",
138,DeDA: Deep Directed Accumulator,none,
139,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"deep learning techniques have achieved unprecedented success in the field of
medical image classification, but this is largely due to large amount of
annotated data active learning (al) is an effective approach to address this
issue from a data selection perspective, which selects the most informative
samples from an unlabeled sample pool for experts to label and improves the
performance of the trained model with reduced labeling cost recently, ning et
al.",
140,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"we conducted two experiments with different matching ratios (ratio of the number
of target class samples to the total number of samples) on a public 9-class
colorectal cancer pathology image dataset.",
141,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"to validate the effectiveness of openal, we conducted two experiments with
different matching ratios (the ratio of the number of samples in the target
class to the total number of samples) on a 9-class public colorectal cancer
pathology image classification dataset (nct-crc-he-100k) metrics.",
142,SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"as a data-dependent fusion strategy, sfusion can automatically learn the latent
correlations between different modalities and builds a shared feature
representation.",
143,SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"the entire fusion process is based on available data without simulating missing
modalities.",
144,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,"long-tailed problem is usually caused by differences in incidence rate and
difficulties in data collection.",
145,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,"some diseases are common while others are rare, making it difficult to collect
balanced data to tackle the challenge of learning unbiased classifiers with
imbalanced data, many previous works focus on three main ideas, including
re-sampling data recently, contrastive learning (cl) methods pose great
potential for representation learning when trained on imbalanced data to address
the above issues, we propose a class-enhancement contrastive learning (ecl)
method for skin lesion classification, differences between scl and ecl are
illustrated in fig.",
146,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,datasets and pre-trained model.,
147,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"we conducted experiments on automating liver tumor segmentation in
contrast-enhanced ct scans, a crucial task in liver cancer diagnosis and
surgical planning collecting large-scale data from our hospital and training a
new model will be expensive.",
148,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"we collected a dataset from our in-house hospital comprising 941 ct scans with
eight categories: hepatocellular carcinoma, cholangioma, metastasis,
hepatoblastoma, hemangioma, focal nodular hyperplasia, cyst, and others.",
149,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"we utilized a pre-trained model for liver segmentation using supervised learning
on two public datasets metrics.",
150,UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,"thanks to both designs, our uniseg achieves superior performance on 11 upstream
datasets and two downstream datasets, setting a new record.",
151,UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,"in our future work, we plan to design a universal model that can effectively
process multiple dimensional data.",
152,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,"however, shortage of pathologists worldwide along with the complexity of
histopathological data make this task time consuming and challenging.",
153,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,"the corresponding dataset we conduct experiments on human colorectal cancer
dataset",
154,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,dataset and evaluation metric.,
155,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,we use the gland segmentation challenge dataset,
156,DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,"to verify the effectiveness and generalization of our searched architectures
from dast, we validate the searched architecture (from pancreas data set) on
this challenging task.",
157,Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,"however, acquiring such paired data is challenging in real clinical scenarios.",
158,Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,"although it is possible to simulate low-quality images from high-quality images,
the models derived from such data may have limited generalization ability when
applied to real data recently, pre-trained diffusion models in this paper, we
aim at addressing the limitations of existing image enhancement methods and the
scarcity of pre-trained diffusion models for medical images.",
159,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,"detecting out-of-distribution (ood) samples is crucial in real-world
applications of machine learning, especially in medical imaging analysis where
misdiagnosis can pose significant risks deep learning-based ood detection
methods with uncertainty estimation, such as evidential deep learning (edl) to
address this limitation, we propose an evidence reconciled neural network
(ernn), which aims to reliably detect those samples that are similar to the
training data but still with different distributions (near ood), while maintain
accuracy for in-distribution (id) classification.",
160,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,"extensive experiments on both isic2019 dataset and in-house pancreas tumor
dataset demonstrate that the proposed ernn significantly improves the
reliability and accuracy of ood detection for clinical applications.",
161,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,"in this section, we conduct a detailed ablation study to clearly demonstrate the
effectiveness of our major technical components, which consist of evaluation of
evidential head, evaluation of the proposed evidence reconcile block on both
isic 2019 dataset and our in-house pancreas tumor dataset.",
162,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,none,
163,WeakPolyp: You only Look Bounding Box for Polyp Segmentation,none,
164,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,none,
165,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,none,
166,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"for instance, structures such as the left ventricle and the myocardium wall in
the ultrasound datasets have large components of their contour oriented along
the vertical direction which allows the univariate and bivariate models to
perform as well, if not better, than the asymmetric model.",
167,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the contrast between the left ventricle and myocardium in the images of the
private cardiac us dataset is small, which explains why the simpler univariate
and bivariate models perform well.",
168,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"this is why on very noisy and poorly contrasted data, the univariate or the
bivariate model might be preferable to using the asymmetric model.",
169,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,extensive experiments on two publicly available datasets named 3dircadb,
170,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,none,
171,Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,none,
172,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,"we present a novel data augmentation method for semantic segmentation using a
flexible anti-adversarial consistency regularization.",
173,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,"extensive experiments with various backbones and datasets confirm the
effectiveness of our method.",
174,Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,none,
175,Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models,none,
176,Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,none,
177,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,dataset.,
178,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"we evaluated our method on an in-house breast dce-mri dataset collected from the
cancer center of sun yat-sen university.",
179,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"for both datasets, we repeat the evaluation protocols for four times and report
the average metrics and their standard deviation on test set.",
180,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"we benchmark our methods against previous wsss works on two datasets in table
from the results, we can make several key observations.",
181,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"firstly, our proposed method, even without classifier guidance, outperform all
other wsss methods including the classifier guided diffusion model cg-diff on
both datasets for all three metrics.",
182,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"secondly, all wsss methods have performance drop on kidney dataset compared with
brats dataset.",
183,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"this demonstrates that the kidney segmentation task is a more challenging task
for wsss than brain tumor task, which may be caused by the small training size
and diverse appearance across slices in the chaos dataset.",
184,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"the default setting is cg-cdm on brats dataset with q = 400, r = 10, τ = 0.95,
and s = 10.",
185,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"however, the data in each slice is related to three views, discarding any of
them may lead to the loss of local information, which may cause the degradation
of performance the contributions of our proposed method can be described as
follows: 1) based on transformer, we construct dual-branch encoder and decoder
layers that assemble two attention mechanisms, being able to model close-window
and distant-window dependencies without any extra computational cost.",
186,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"3) for the multi-modal data adopt in the task of samm-bts, we improve the
channel attention mechanism in se-net by applying se-weights to features from
both branches in the encoder and decoder layers.",
187,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,datasets.,
188,M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,none,
189,Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,none,
190,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,"however, the increasingly complex network architecture in cnn-based models, such
as resnet repvgg to evaluate the proposed rcs-yolo model, we used the brain
tumor detection 2020 dataset (br35h) to highlight the accuracy and rapidity of
the proposed model for the detection of brain tumor medical image data set,
table it can be seen that rcs-yolo with the advantages of incorporating the
rcs-osa module performs well.",
191,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,"evaluation of the brain mri dataset shows superior performance for brain tumor
detection in terms of both speed and precision, as compared to yolov6, yolov7,
and yolov8 models.",
192,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"recently, deep learningbased approaches have greatly improved the accuracy and
efficiency of automatic prostate mri segmentation regarding quantity , the
abundance of unlabeled data serves as a way to regularize the model and
alleviate overfitting to the limited labeled data.",
193,A Sheaf Theoretic Perspective for Robust Prostate Segmentation,"deep learning models are susceptible to textural shifts and artefacts which is
often seen in mri due to variations in the complex acquisition protocols across
multiple sites the most common approach to tackle domain shifts is with data
augmentation the contributions of this paper are summarized as follows: 1.",
194,MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,"transformers the convnext architecture marries the scalability and long-range
spatial representation learning capabilities of vision in this work, we maximize
the potential of a convnext design while uniquely addressing challenges of
limited datasets in medical image segmentation.",
195,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"this is primarily due to their ability to learn informative hierarchical
features directly from data.",
196,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"in the proposed kspc-net, a cnn is employed to learn directly from the data to
produce the pixel-wise bandwidth feature map and initial segmentation map, which
are used to define the tuning parameters in the kspc module.",
197,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"more specifically, we use the classic unet the dataset is from the hecktor
challenge in miccai 2021 (head and neck tumor segmentation challenge).",
198,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"the hecktor training dataset consists of 224 patients diagnosed with
oropharyngeal cancer in this paper, we present a novel network, kspc-net, for
the segmentation in 2d pet images, which integrates kspc into the unet
architecture in an end-toend differential manner.",
199,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"promising performance was achieved by our proposed kspc-net compared to the
state-of-the-art approaches on the miccai 2021 challenge dataset (hecktor).",
200,A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,"-we conduct experiments on the brats 2020 dataset and achieve the sota
segmentation performance, having a mean dice core of 89.79% for the whole tumor,
82.72% for the tumor core, and 66.71% for the enhancing tumor.",
201,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"notably, tumor types have been found to be strongly correlated with the
prognosis of diffuse glioma our method is evaluated using pre-operative
multimodal mr brain images of 1726 diffuse glioma patients collected from
cooperation hospitals and a public dataset brats2019 diffuse glioma can be
classified into three histological types: the oligodendroglioma, the
astrocytoma, and the glioblastoma the tumor subtyping network is trained
independently before being integrated into the backbone.",
202,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"to solve the inherent issue of imbalanced tumor type in the training data
collected in clinic, a novel ordinal manifold mixup based feature augmentation
is applied in the training of the tumor subtyping network.",
203,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"it is worth noting that the ground truth of tumor types, which is determined
after craniotomy, is available in the training data, while for the testing data,
tumor types are not required, because tumor-type-related features can be learned
from the pre-operative multimodal mr brain images.",
204,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in the in-house dataset, the proportions of the three tumor types are 20.9%
(oligodendroglioma), 28.7% (astrocytoma), and 50.4% (glioblastoma), which is
consistent with the statistical report in in the original manifold mixup where y
k i and y k j stand for the labels of the k-th tumor type of the i-th and j-th
patients, respectively, and λ ∈ [0, 1] is a weighting factor.",
205,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in our experiment, both in-house and public datasets are used to evaluate our
method.",
206,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"specifically, the in-house dataset collected in cooperation hospitals contains
pre-operative multimodal mr images, including t1, t1 contrast enhanced (t1c),
t2, and flair, of 1726 patients (age 49.7 ± 13.1) with confirmed diffuse glioma
types.",
207,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"besides the inhouse dataset, a public dataset brats2019, including pre-operative
multimodal mr images of 210 non-censored patients (age 61.4 ± 12.2), is adopted
as the external independent testing dataset.",
208,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"all images of the in-house and brats2019 datasets go through the same
pre-processing stage, including image normalization and affine transformation to
mni152 besides our method, four state-of-the-art methods, including random
forest based method (rf) where d = {x 1 , ..., x n } is the dataset containing
all patients, t i and t j are ground truth of survival times of the i-th and
j-th patients, r i and r j are the days predicted by rf, mcsp, and pgsp or risks
predicted by the deep cox proportional hazard models (i.e., deepconvsurv and our
method), 1 x<y = 1 if x < y, else 0, and δ i = 0 or 1 when the i-th patient is
censored or non-censored.",
209,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"as rf, mcsp, and pgsp cannot use the censored data in the in-house dataset, 80%
of the non-censored data (594 patients) are randomly selected as the training
data, and the rest 20% non-censored data (149 patients) are for testing.",
210,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"so besides the 80% non-censored patients, all censored data (983 patients) are
also included in the training data.",
211,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"for the in-house dataset, the resulting c-indices are 0.744 (baseline-1) and
0.735 (baseline-2).",
212,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"for the external independent testing dataset brats2019, the resulting c-indices
are 0.738 (baseline-1) and 0.714 (baseline-2), and our method still has more
than 6% improvement comparing with baseline-2.",
213,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"both in-house and public datasets containing 1936 patients were used in the
experiment.",
214,Medical Boundary Diffusion Model for Skin Lesion Segmentation,none,
215,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"with the emergence of multimodal datasets (e.g., brats in addition to the
progress on the fusion of multimodal features, improving the model
representation ability is also an effective way to boost segmentation
performance.",
216,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,"extensive experimental results on two publicly available datasets demonstrate
the effectiveness of our proposed method.",
217,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,none,
218,QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,none,
219,EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,none,
220,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"we verify the effectiveness of our proposed diffusion kinetic model (dkm) on
dce-mri-based breast cancer segmentation using breast-mri-nact-pilot dataset •
we propose a diffusion kinetic model that implicitly exploits hemodynamic priors
in dce-mri and effectively generates high-quality segmentation maps only
requiring pre-contrast images.",
221,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"in particular, the diffusion loss for the reverse diffusion process can be
formulated as follows: where θ represents the denoising model that employs an
u-net structure, x 0 and x k are the pre-contrast and post-contrast images,
respectively, is gaussian distribution data ∼ n (0, i), and t is a timestep.",
222,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"dataset: to demonstrate the effectiveness of our proposed dkm, we evaluate our
method on 4d dce-mri breast cancer segmentation using the breast-mri-nact-pilot
dataset we propose a diffusion kinetic model by exploiting hemodynamic priors in
dce-mri to effectively generate high-quality segmentation results only requiring
precontrast images.",
223,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,none,
224,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,none,
225,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"first, there lacks of a well-segmented dataset with manual labels on lyme
disease.",
226,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"on one hand, some datasets-such as ham10000 second, the segmentation of lyme
lesion is itself challenging due to the nature of em pattern.",
227,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"furthermore, clinical data collected for training is usually imbalanced in some
properties, e.g., more samples with light skins compared with dark skins.",
228,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"therefore, existing skin disease segmentation in this paper, we present the
first lyme disease dataset that contains labeled segmentation and skin tones.",
229,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"our lyme disease dataset contains two parts: (i) a classification dataset,
composed of more than 3,000 diseased skin images that are either obtained from
public resources or clinicians with patient-informed consent, and (ii) a
segmentation dataset containing 185 samples that are manually annotated for
three regions-i.e., background, skin (light vs.",
230,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,"our dataset with manual labels is available at this url secondly, we design a
simple yet novel data preprocessing and alternation method, called edgemixup, to
improve lyme disease segmentation and diagnosis fairness on samples with
different skin-tones.",
231,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"we adopted the training dataset of hecktor 2022 (refer to
https://hecktor.grand-cha llenge.org/), including 488 h&n cancer patients
acquired from seven medical centers we resampled pet-ct images into isotropic
voxels where 1 voxel corresponds to 1 mm 3 .",
232,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"extensive experiments have shown that the proposed framework and blocks enable
our xsurv to outperform state-of-the-art survival prediction methods on the
well-benchmarked hecktor 2022 dataset.",
233,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"we adopted the training dataset of hecktor 2022 (refer to
https://hecktor.grand-cha llenge.org/), including 488 h&n cancer patients
acquired from seven medical centers we resampled pet-ct images into isotropic
voxels where 1 voxel corresponds to 1 mm 3 .",
234,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"extensive experiments have shown that the proposed framework and blocks enable
our xsurv to outperform state-of-the-art survival prediction methods on the
well-benchmarked hecktor 2022 dataset.",
235,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"therefore, the contributions of this work can be summarized as: 1) a novel
graph-based model for predicting survival that extracts both local and global
properties by identifying morphological super-nodes; 2) introducing a
fine-coarse feature distillation module with 3 various strategies to aggregate
interactions at different scales; 3) outperforming sota approaches in both risk
prediction and patient stratification scenarios on two datasets; 4) publishing
two large and rare prostate cancer datasets containing more than 220 graphs for
active surveillance and 240 graphs for brachytherapy cases.",
236,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"the code and graph embeddings are publicly available at
https://github.com/pazadimo/all-in 2 related works we utilize two prostate
cancer (pca) datasets to evaluate the performance of our proposed model.",
237,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"radical therapy is considered overtreatment in these patients, so they are
instead monitored with regular serum prostate-specific antigen (psa)
measurements, physical examinations, sequential biopsies, and magnetic resonance
imaging the second dataset (pca-bt) includes 105 pca patients with low to high
risk disease who went through brachytherapy.",
238,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"therefore, the contributions of this work can be summarized as: 1) a novel
graph-based model for predicting survival that extracts both local and global
properties by identifying morphological super-nodes; 2) introducing a
fine-coarse feature distillation module with 3 various strategies to aggregate
interactions at different scales; 3) outperforming sota approaches in both risk
prediction and patient stratification scenarios on two datasets; 4) publishing
two large and rare prostate cancer datasets containing more than 220 graphs for
active surveillance and 240 graphs for brachytherapy cases.",
239,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"the code and graph embeddings are publicly available at
https://github.com/pazadimo/all-in 2 related works we utilize two prostate
cancer (pca) datasets to evaluate the performance of our proposed model.",
240,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"radical therapy is considered overtreatment in these patients, so they are
instead monitored with regular serum prostate-specific antigen (psa)
measurements, physical examinations, sequential biopsies, and magnetic resonance
imaging the second dataset (pca-bt) includes 105 pca patients with low to high
risk disease who went through brachytherapy.",
241,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"however, this results in high interobserver variability among pathologists,
primarily due to the large (> 50%) disagreement among pathologists for immune
cell phenotyping in this paper, we introduce a new dataset that can be readily
used out-ofthe-box with any artificial intelligence (ai)/deep learning
algorithms for spatial characterization of tumor immune microenvironment and
several other use cases.",
242,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"to date, only two denovo stained datasets have been released publicly: bci h&e
and singleplex ihc her2 dataset the complete staining protocols for this dataset
are given in the accompanying supplementary material.",
243,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"we have released the first ai-ready restained and co-registered mif and mihc
dataset for head-and-neck squamous cell carcinoma patients.",
244,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"this dataset can be used for virtual phenotyping given standard clinical
hematoxylin images, virtual clinical ihc dab generation with ground truth
segmentations (to train highquality segmentation models across multiple cancer
types) created from cleaner mif images, as well as for generating standardized
clean mif images from neighboring h&e and ihc sections for registration and 3d
reconstruction of tissue specimens.",
245,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"in the future, we will release similar datasets for additional cancer types as
well as release for this dataset corresponding whole-cell segmentations via
impartial https://github.com/nadeemlab/impartial.",
246,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"it is also supported in part by the moffitt's total cancer care initiative,
collaborative data services, biostatistics and bioinformatics, and tissue core
facilities at the h.",
247,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"however, this results in high interobserver variability among pathologists,
primarily due to the large (> 50%) disagreement among pathologists for immune
cell phenotyping in this paper, we introduce a new dataset that can be readily
used out-ofthe-box with any artificial intelligence (ai)/deep learning
algorithms for spatial characterization of tumor immune microenvironment and
several other use cases.",
248,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"to date, only two denovo stained datasets have been released publicly: bci h&e
and singleplex ihc her2 dataset the complete staining protocols for this dataset
are given in the accompanying supplementary material.",
249,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"we have released the first ai-ready restained and co-registered mif and mihc
dataset for head-and-neck squamous cell carcinoma patients.",
250,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"this dataset can be used for virtual phenotyping given standard clinical
hematoxylin images, virtual clinical ihc dab generation with ground truth
segmentations (to train highquality segmentation models across multiple cancer
types) created from cleaner mif images, as well as for generating standardized
clean mif images from neighboring h&e and ihc sections for registration and 3d
reconstruction of tissue specimens.",
251,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"in the future, we will release similar datasets for additional cancer types as
well as release for this dataset corresponding whole-cell segmentations via
impartial https://github.com/nadeemlab/impartial.",
252,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"it is also supported in part by the moffitt's total cancer care initiative,
collaborative data services, biostatistics and bioinformatics, and tissue core
facilities at the h.",
253,Detection of Basal Cell Carcinoma in Whole Slide Images,"figure we validated our algorithm using the curated skin cancer dataset and
sc-net as a supernet, testing both heavy and light models.",
254,Detection of Basal Cell Carcinoma in Whole Slide Images,"to ensure a fair comparison on our dataset, we selected several papers in the
field of pathological image analysis, such as evaluation metrics.",
255,Detection of Basal Cell Carcinoma in Whole Slide Images,"with scnet and evolutionary search, we obtained optimal architectures, achieving
96.2% top-1 and 96.5% accuracy on a skin cancer dataset, improvements of 4.8%
and 4.7% over baselines.",
256,Detection of Basal Cell Carcinoma in Whole Slide Images,"future work will apply our approach to larger datasets for wider-scale
validation.",
257,Detection of Basal Cell Carcinoma in Whole Slide Images,"figure we validated our algorithm using the curated skin cancer dataset and
sc-net as a supernet, testing both heavy and light models.",
258,Detection of Basal Cell Carcinoma in Whole Slide Images,"to ensure a fair comparison on our dataset, we selected several papers in the
field of pathological image analysis, such as evaluation metrics.",
259,Detection of Basal Cell Carcinoma in Whole Slide Images,"with scnet and evolutionary search, we obtained optimal architectures, achieving
96.2% top-1 and 96.5% accuracy on a skin cancer dataset, improvements of 4.8%
and 4.7% over baselines.",
260,Detection of Basal Cell Carcinoma in Whole Slide Images,"future work will apply our approach to larger datasets for wider-scale
validation.",
261,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,we evaluate our model with three datasets.,
262,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"(1) luad-gm dataset: the objective is to predict the epidermal growth factor
receptor (egfr) gene mutations in patients with lung adenocarcinoma (luad) using
723 whole slide image (wsi) slices, where 47% of cases have egfr mutations.",
263,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"(2) tcga-nsclc and tcga-rcc datasets: cancer type classification is performed
using the cancer genome atlas (tcga) dataset.",
264,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,"the tcga-nsclc dataset comprised two subtypes, lung squamous cell carcinoma
(lusc) and lung adenocarcinoma (luad), while the tcga-rcc dataset included three
subtypes: renal chromophobe cell carcinoma (kich), renal clear cell carcinoma
(kirc), and renal papillary cell carcinoma (kirp).",
265,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,we evaluate our model with three datasets.,
