,header_titles
922,Mitigating the Co-artifacts Issue
923,Transformer-Based Multi-label Model
924,Soft State Embeddings S.
925,Self-feedback Strategy
926,Comparison and Ablation Experiments
927,Performance of Different Inference Modes
928,Analysis of Noise Resistance
929,Baseline Framework
930,Unconditional Nuclei Structure Synthesis
931,Conditional Histopathology Image Synthesis
932,Effectiveness of the Proposed Data Augmentation Method
933,Variational Deep Embedding (VaDE)
934,Conditionally Decoded Variational Deep Embedding (CDVaDE)
935,Deep Embedding Clustering (DEC)
936,Related Works in Medical Imaging
937,Colored MNIST
938,Application to a Digital Pathology Dataset
939,Dataset Preparation and Preprocessing
940,Triple Point Pattern (TPP)
941,TPPNet
942,Preparations
943,Impact of Gray Level
944,Acc
945,Impact of Intensity Rescaling Approaches
946,Multi-Channels vs Solo-Channel
947,Comparisons
948,Representing Query with Anchor Circle
949,Circle Cross Attention
950,"MA((x, y), (x ref , y"
951,Circle Regression
952,Circle Instance Segmentation
953,Generalized Circle IoU
954,CC
955,Table 5 .
956,Permutation-equivariant Time Arrow Prediction Head:
957,Time Arrow Prediction Pretraining
958,Motivation:
959,Visual Prompt Tuning
960,Transformer-Based Centroid Detector
961,Grouping Transformer Based Classifier
962,Grouping Prompts Based Tuning
963,Comparison with the State-of-the-Art
964,On the Hausdorff Moment Problem
965,Maximum-Entropy Estimation
966,Dual Energy Minimization Problems
967,Synthetic Data
968,Comparison Methods
969,In Vivo rdMRI
970,Loss Functions and Model Convergence:
971,(c).
972,Discussions and Conclusion
973,Training and Testing Datasets
974,TractCloud Framework
975,Performance on the Labeled Atlas Dataset
976,Performance on the Independently Acquired Testing Datasets
977,Multi-compartment Model
978,Model Simplification via Spherical Mean
979,Estimation of Relaxation and Diffusion Parameters
980,Microstructure Indices
981,Data Acquisition and Processing
982,Ex Vivo Data: Compartment-Specific Parameters
983,In Vivo Data: Compartment-Specific Parameters
984,In Vivo Data: Neurite Morphology
985,Relation Between Relaxation and Diffusivity
986,fODFs
987,Proxy Task
988,ImageNet Pre-training:
989,Prior Self-activation Map
990,Result
991,Materials and Proposed Method
992,Binary Classification for Tract Segmentation
993,Active Learning for Tract Selection
994,Implementation and Evaluation Details
995,Domain-Expert Evaluation:
996,Generalization to Other Architectures
997,Implementation and Training.
998,Augmented Lesion Network Mapping (A-LNM).
999,Comparison Studies
1000,Brain Regions in Relation to GBM Survival
1001,Dataset Description
1002,Vessel Map Extraction
1003,Data Augmentation
1004,Neural Network
1005,Augmented CT
1006,Ablation Study and Additional Results
1007,Comparison with VoxelMorph:
1008,OCE Needle for Deep Tissue Indentation
1009,Indentation Experiments
1010,The Overall Segmentation Framework
1011,Fracture Segmentation Network
1012,Post-processing
1013,Data and Annotation
1014,Data and Landmark Annotation
1015,Contrastive Learning Framework
1016,Landmark Matching with a 2.5D Approach
1017,Landmark Matching with 3D SIFT
1018,Data Preprocessing
1019,Implementation Details and Evaluation
1020,Related Autofocusing Works
1021,Contributions
1022,Optical System
1023,Autofocus Policies
1024,Overview of SCA-Net
1025,Surgical Concept Learning
1026,Mutual-Modality Concept Alignment
1027,Comparison on Neurosurgery Video Captioning
1028,Comparison on EndoVis Image Captioning
1029,Implicit Modeling for Surgical Dissection Decision-Making
1030,Training Implicit Policy as Diffusion Models
1031,Conditional Sampling with Forward-Diffusion Guidance
1032,Experimental Dataset and Evaluation Metrics
1033,Regularized Kelvinlet Functions
1034,Registration Task
1035,Hyperparameters Sensitivity Analysis
1036,Registration Methods Comparison
1037,Limitations and Conclusion
1038,Intraoperative Registration Image Synthesis Pose Regression
1039,Expected Appearances Synthesis
1040,Pose Regression Network
1041,Validation and Evaluation of Texture Invariance.
1042,Deep Learning-Based Dose Prediction
1043,Dose Segmentation Loss (DOSELO)
1044,Data and Model Training
1045,Dose Prediction:
1046,Baselines and Implementation Details:
1047,RM AE
1048,FLIm Hardware and Data Acquisition
1049,Patient Cohort and FLIm Data Labeling
1050,FLIm Preprocessing
1051,Novelty Detection Model
1052,Classifier Training and Evaluation
1053,Classifier Augmented Display
1054,Uncertainty Quantification
1055,Experimental Setup and Implementation
1056,Error Regression Accuracy
1057,Validation of the Uncertainty Evaluation
1058,Robustness of the Proposed Model
1059,Intersection Detection as Segmentation
1060,Intersection Detection as Regression
1061,Video-CTU Registration
1062,Ureteroscopic Image Characteristics
1063,Ureteroscopic Structure Extraction
1064,Virtual CTU Depth Map Generation and Thresholding
1065,Structural Point Similarity and Optimization
1066,Luo et al. Ours
1067,Approaches
1068,Transformer Cascade Encoding
1069,Boundary-Aware Multibranch Fusion Decoding
1070,Hybrid Spatial-Frequency Loss
1071,Multi-modal Variational Auto-Encoders (MVAE).
1072,Hierarchical Latent representation
1073,Variational Posterior's Parametrization for Incomplete Inputs
1074,Optimization Strategy for Image Synthesis
1075,Conclusion and Future Work.
1076,Histology-to-CT Modality Translation
1077,Recursive Cascaded Plane Selection
1078,Deformable 2D-3D Registration
1079,Modality Translation
1080,Registration
1081,Manifold Learning
1082,Reconstruction from Biplanar Projections
1083,"Conclusion, Limitations, and Future Work"
1084,MaskGAN Architecture
1085,CycleGAN Supervision
1086,Mask and Cycle Shape Consistency Supervision
1087,Frequency-Band-Aware Artifact Modeling Network
1088,Self-guided Artifact Refinement Network
1089,Loss Function for FreeSeed
1090,Extending FreeSeed to Dual-Domain Framework
1091,Collaborative Optimization
1092,Network Modules
1093,3D Pseudo Brain MRI.
1094,Fast Reconstruction Images
1095,Motion Correction Framework
1096,Multi-sequence Fusion
1097,Task-Specific Enhanced Map
1098,Dataset and Evaluation Metrics
1099,Interpretability Visualization
1100,Feature Extraction
1101,Ellipse Intersection
1102,Clustering
1103,Search Space Regularization.
1104,Variant I. This variant relies upon direct inversion of the emission equation matrix S -1
1105,Data Collection
1106,Experimental Validation
1107,A Continuous formulation of the FDOT problem
1108,Architecture and Training.
1109,Affine Registration of Brain US-MR
1110,Deformable Registration of Abdominal MR-CT
1111,Deformable Registration of Abdominal US-CT and US-MR
1112,Generative Adversarial Network.
1113,GANs with Local Coherence
1114,Theoretical Background
1115,Noise2Aliasing
1116,Design Choices Based on the Proposition
1117,Parametric Form of Learnable Regularization
1118,Algorithm 1. Learned Descent Algorithm for PET image reconstruction
1119,Learned Descent Algorithm for PET
1120,Dual-Domain Unsupervised Training
1121,Implementation Details and Reference Methods
1122,Experimental Evaluations
1123,Target Function
1124,Datasets and Experiment Setup
1125,Non-iterative Coarse-to-fine Transformer Networks (NICE-Trans)
1126,Joint Affine and Deformable Registration
1127,Unsupervised Learning
1128,Sparse Optical Flow
1129,Gaussian Heatmaps
1130,Evaluation Metrics and Results
1131,Multi-conditioned Latent Diffusion Model
1132,Latent Space Network
1133,Structural Guidance
1134,Auto-Weight Adaptation
1135,Ablation Study and Multi-modal Exploitation Capabilities
1136,Deterministic DDIM Sampling.
1137,InverseSR(LDM):
1138,InverseSR(Decoder):
1139,Implementation:
1140,Dual-Stream Diffusion Model for Structure-Preserving Super-Resolution
1141,Imaging Enhancement Operator for Vascular and Blob Structure
1142,Datasets and Evaluation
1143,Qualitative and Quantitative Results
1144,LightNeuS
1145,Using Illumination Decline as a Depth Cue
1146,Endoscope Photometric Model
