,Title,Authors,Page numbers,DOI,Year of publication,Part of publication
122,Multi-objective Point Cloud Autoencoders for Explainable Myocardial Infarction Prediction,"Marcel Beetz, Abhirup Banerjee, Vicente Grau",532-542,10.1007/978-3-031-43895-0_50,2023,02
123,Aneurysm Pose Estimation with Deep Learning,"Youssef Assis, Liang Liao, Fabien Pierre, René Anxionnat, Erwan Kerrien",543-553,10.1007/978-3-031-43895-0_51,2023,02
124,Joint Optimization of a \(\beta \)-VAE for ECG Task-Specific Feature Extraction,"Viktor van der Valk, Douwe Atsma, Roderick Scherptong, Marius Staring",554-563,10.1007/978-3-031-43895-0_52,2023,02
125,Adaptive Multi-scale Online Likelihood Network for AI-Assisted Interactive Segmentation,"Muhammad Asad, Helena Williams, Indrajeet Mandal, Sarim Ather, Jan Deprest, Jan Dhooge et al.",564-574,10.1007/978-3-031-43895-0_53,2023,02
126,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"Alfie Roddan, Chi Xu, Serine Ajlouni, Irini Kakaletri, Patra Charalampaki, Stamatia Giannarou",575-585,10.1007/978-3-031-43895-0_54,2023,02
127,A Video-Based End-to-end Pipeline for Non-nutritive Sucking Action Recognition and Segmentation in Young Infants,"Shaotong Zhu, Michael Wan, Elaheh Hatamimajoumerd, Kashish Jain, Samuel Zlota, Cholpady Vikram Kamath et al.",586-595,10.1007/978-3-031-43895-0_55,2023,02
128,Reveal to Revise: An Explainable AI Life Cycle for Iterative Bias Correction of Deep Models,"Frederik Pahde, Maximilian Dreyer, Wojciech Samek, Sebastian Lapuschkin",596-606,10.1007/978-3-031-43895-0_56,2023,02
129,Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,"Thomas Pinetz, Erich Kobler, Robert Haase, Katerina Deike-Hofmann, Alexander Radbruch, Alexander Effland",607-617,10.1007/978-3-031-43895-0_57,2023,02
130,Prediction of Infant Cognitive Development with Cortical Surface-Based Multimodal Learning,"Jiale Cheng, Xin Zhang, Fenqiang Zhao, Zhengwang Wu, Xinrui Yuan, Li Wang et al.",618-627,10.1007/978-3-031-43895-0_58,2023,02
131,Distilling BlackBox to Interpretable Models for Efficient Transfer Learning,"Shantanu Ghosh, Ke Yu, Kayhan Batmanghelich",628-638,10.1007/978-3-031-43895-0_59,2023,02
132,Gadolinium-Free Cardiac MRI Myocardial Scar Detection by 4D Convolution Factorization,"Amine Amyar, Shiro Nakamori, Manuel Morales, Siyeop Yoon, Jennifer Rodriguez, Jiwon Kim et al.",639-648,10.1007/978-3-031-43895-0_60,2023,02
133,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,"Thomas Z. Li, John M. Still, Kaiwen Xu, Ho Hin Lee, Leon Y. Cai, Aravind R. Krishnan et al.",649-659,10.1007/978-3-031-43895-0_61,2023,02
134,FedContrast-GPA: Heterogeneous Federated Optimization via Local Contrastive Learning and Global Process-Aware Aggregation,"Qin Zhou, Guoyan Zheng",660-670,10.1007/978-3-031-43895-0_62,2023,02
135,Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,"Qin Zhou, Peng Liu, Guoyan Zheng",671-680,10.1007/978-3-031-43895-0_63,2023,02
136,Attentive Deep Canonical Correlation Analysis for Diagnosing Alzheimers Disease Using Multimodal Imaging Genetics,"Rong Zhou, Houliang Zhou, Brian Y. Chen, Li Shen, Yu Zhang, Lifang He",681-691,10.1007/978-3-031-43895-0_64,2023,02
137,FedIIC: Towards Robust Federated Learning for Class-Imbalanced Medical Image Classification,"Nannan Wu, Li Yu, Xin Yang, Kwang-Ting Cheng, Zengqiang Yan",692-702,10.1007/978-3-031-43895-0_65,2023,02
138,Transferability-Guided Multi-source Model Adaptation for Medical Image Segmentation,"Chen Yang, Yifan Liu, Yixuan Yuan",703-712,10.1007/978-3-031-43895-0_66,2023,02
139,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,"Ze Jin, Maolin Pang, Yuqiao Yang, Fahad Parvez Mahdi, Tianyi Qu, Ren Sasage et al.",713-722,10.1007/978-3-031-43895-0_67,2023,02
140,An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment,"Favour Nerrise, Qingyu Zhao, Kathleen L. Poston, Kilian M. Pohl, Ehsan Adeli",723-733,10.1007/978-3-031-43895-0_68,2023,02
141,An Interpretable and Attention-Based Method for Gaze Estimation Using Electroencephalography,"Nina Weng, Martyna Plomecka, Manuel Kaufmann, Ard Kastrati, Roger Wattenhofer, Nicolas Langer",734-743,10.1007/978-3-031-43895-0_69,2023,02
142,On the Relevance of Temporal Features for Medical Ultrasound Video Recognition,"D. Hudson Smith, John Paul Lineberger, George H. Baker",744-753,10.1007/978-3-031-43895-0_70,2023,02
143,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"Jiarong Ye, Haomiao Ni, Peng Jin, Sharon X. Huang, Yuan Xue",754-764,10.1007/978-3-031-43895-0_71,2023,02
144,DeDA: Deep Directed Accumulator,"Hang Zhang, Rongguang Wang, Renjiu Hu, Jinwei Zhang, Jiahao Li",765-775,10.1007/978-3-031-43895-0_72,2023,02
145,Mixing Temporal Graphs with MLP for Longitudinal Brain Connectome Analysis,"Hyuna Cho, Guorong Wu, Won Hwa Kim",776-786,10.1007/978-3-031-43895-0_73,2023,02
146,Correction to: COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,"Han Liu, Hao Li, Xing Yao, Yubo Fan, Dewei Hu, Benoit M. Dawant et al.",C1-C1,10.1007/978-3-031-43895-0_74,2023,02
147,Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,"Jun Ma, Yuanzhi Zhu, Chenyu You, Bo Wang",3-13,10.1007/978-3-031-43898-1_1,2023,03
148,GRACE: A Generalized and Personalized Federated Learning Method for Medical Imaging,"Ruipeng Zhang, Ziqing Fan, Qinwei Xu, Jiangchao Yao, Ya Zhang, Yanfeng Wang",14-24,10.1007/978-3-031-43898-1_2,2023,03
149,Chest X-ray Image Classification: A Causal Perspective,"Weizhi Nie, Chen Zhang, Dan Song, Yunpeng Bai, Keliang Xie, An-An Liu",25-35,10.1007/978-3-031-43898-1_3,2023,03
150,DRMC: A Generalist Model with Dynamic Routing for Multi-center PET Image Synthesis,"Zhiwen Yang, Yang Zhou, Hui Zhang, Bingzheng Wei, Yubo Fan, Yan Xu",36-46,10.1007/978-3-031-43898-1_4,2023,03
151,Federated Condition Generalization on Low-dose CT Reconstruction via Cross-domain Learning,"Shixuan Chen, Boxuan Cao, Yinda Du, Yaoduo Zhang, Ji He, Zhaoying Bian et al.",47-56,10.1007/978-3-031-43898-1_5,2023,03
152,Enabling Geometry Aware Learning Through Differentiable Epipolar View Translation,"Maximilian Rohleder, Charlotte Pradel, Fabian Wagner, Mareike Thies, Noah Maul, Felix Denzinger et al.",57-65,10.1007/978-3-031-43898-1_6,2023,03
153,Enhance Early Diagnosis Accuracy of Alzheimers Disease by Elucidating Interactions Between Amyloid Cascade and Tau Propagation,"Tingting Dan, Minjeong Kim, Won Hwa Kim, Guorong Wu",66-76,10.1007/978-3-031-43898-1_7,2023,03
154,TauFlowNet: Uncovering Propagation Mechanism of Tau Aggregates by Neural Transport Equation,"Tingting Dan, Minjeong Kim, Won Hwa Kim, Guorong Wu",77-86,10.1007/978-3-031-43898-1_8,2023,03
155,Uncovering Structural-Functional Coupling Alterations for Neurodegenerative Diseases,"Tingting Dan, Minjeong Kim, Won Hwa Kim, Guorong Wu",87-96,10.1007/978-3-031-43898-1_9,2023,03
156,Toward Fairness Through Fair Multi-Exit Framework for Dermatological Disease Diagnosis,"Ching-Hao Chiu, Hao-Wei Chung, Yu-Jen Chen, Yiyu Shi, Tsung-Yi Ho",97-107,10.1007/978-3-031-43898-1_10,2023,03
157,Multi-Head Multi-Loss Model Calibration,"Adrian Galdran, Johan W. Verjans, Gustavo Carneiro, Miguel A. González Ballester",108-117,10.1007/978-3-031-43898-1_11,2023,03
158,Scale Federated Learning for Label Set Mismatch in Medical Image Classification,"Zhipeng Deng, Luyang Luo, Hao Chen",118-127,10.1007/978-3-031-43898-1_12,2023,03
159,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,"Amandeep Kumar, Ankan Kumar Bhunia, Sanath Narayan, Hisham Cholakkal, Rao Muhammad Anwer, Jorma Laaksonen et al.",128-137,10.1007/978-3-031-43898-1_13,2023,03
160,Bidirectional Mapping with Contrastive Learning on Multimodal Neuroimaging Data,"Kai Ye, Haoteng Tang, Siyuan Dai, Lei Guo, Johnny Yuehan Liu, Yalin Wang et al.",138-148,10.1007/978-3-031-43898-1_14,2023,03
161,How Reliable are the Metrics Used for Assessing Reliability in Medical Imaging?,"Mayank Gupta, Soumen Basu, Chetan Arora",149-158,10.1007/978-3-031-43898-1_15,2023,03
162,Co-assistant Networks for Label Correction,"Xuan Chen, Weiheng Fu, Tian Li, Xiaoshuang Shi, Hengtao Shen, Xiaofeng Zhu",159-168,10.1007/978-3-031-43898-1_16,2023,03
163,M3D-NCA: Robust 3D Segmentation with Built-In Quality Control,"John Kalkhof, Anirban Mukhopadhyay",169-178,10.1007/978-3-031-43898-1_17,2023,03
164,The Role of Subgroup Separability in Group-Fair Medical Image Classification,"Charles Jones, Mélanie Roschewitz, Ben Glocker",179-188,10.1007/978-3-031-43898-1_18,2023,03
165,Mitigating Calibration Bias Without Fixed Attribute Grouping for Improved Fairness in Medical Imaging Analysis,"Changjian Shui, Justin Szeto, Raghav Mehta, Douglas L. Arnold, Tal Arbel",189-198,10.1007/978-3-031-43898-1_19,2023,03
166,SMRD: SURE-Based Robust MRI Reconstruction with Diffusion Models,"Batu Ozturkler, Chao Liu, Benjamin Eckart, Morteza Mardani, Jiaming Song, Jan Kautz",199-209,10.1007/978-3-031-43898-1_20,2023,03
167,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"Thierry Judge, Olivier Bernard, Woo-Jin Cho Kim, Alberto Gomez, Agisilaos Chartsias, Pierre-Marc Jodoin",210-220,10.1007/978-3-031-43898-1_21,2023,03
168,Fourier Test-Time Adaptation with Multi-level Consistency for Robust Classification,"Yuhao Huang, Xin Yang, Xiaoqiong Huang, Xinrui Zhou, Haozhe Chi, Haoran Dou et al.",221-231,10.1007/978-3-031-43898-1_22,2023,03
169,A Model-Agnostic Framework for Universal Anomaly Detection of Multi-organ and Multi-modal Images,"Yinghao Zhang, Donghuan Lu, Munan Ning, Liansheng Wang, Dong Wei, Yefeng Zheng",232-241,10.1007/978-3-031-43898-1_23,2023,03
170,DiMix: Disentangle-and-Mix Based Domain Generalizable Medical Image Segmentation,"Hyeongyu Kim, Yejee Shin, Dosik Hwang",242-251,10.1007/978-3-031-43898-1_24,2023,03
171,Regular SE(3) Group Convolutions for Volumetric Medical Image Analysis,"Thijs P. Kuipers, Erik J. Bekkers",252-261,10.1007/978-3-031-43898-1_25,2023,03
172,Deep Learning-Based Anonymization of Chest Radiographs: A Utility-Preserving Measure for Patient Privacy,"Kai Packhäuser, Sebastian Gündel, Florian Thamm, Felix Denzinger, Andreas Maier",262-272,10.1007/978-3-031-43898-1_26,2023,03
173,Maximum Entropy on Erroneous Predictions: Improving Model Calibration for Medical Image Segmentation,"Agostina J. Larrazabal, César Martínez, Jose Dolz, Enzo Ferrante",273-283,10.1007/978-3-031-43898-1_27,2023,03
174,Label-Preserving Data Augmentation in Latent Space for Diabetic Retinopathy Recognition,"Zhihao Zhao, Junjie Yang, Shahrooz Faghihroohi, Kai Huang, Mathias Maier, Nassir Navab et al.",284-294,10.1007/978-3-031-43898-1_28,2023,03
175,Assignment Theory-Augmented Neural Network for Dental Arch Labeling,"Tudor Dascalu, Bulat Ibragimov",295-304,10.1007/978-3-031-43898-1_29,2023,03
176,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,"Wei Fu, Yufei Chen, Wei Liu, Xiaodong Yue, Chao Ma",305-315,10.1007/978-3-031-43898-1_30,2023,03
177,Segmentation Distortion: Quantifying Segmentation Uncertainty Under Domain Shift via the Effects of Anomalous Activations,"Jonathan Lennartz, Thomas Schultz",316-325,10.1007/978-3-031-43898-1_31,2023,03
178,CheXstray: A Real-Time Multi-Modal Monitoring Workflow for Medical Imaging AI,"Jameson Merkow, Arjun Soin, Jin Long, Joseph Paul Cohen, Smitha Saligrama, Christopher Bridge et al.",326-336,10.1007/978-3-031-43898-1_32,2023,03
179,DiffMix: Diffusion Model-Based Data Synthesis for Nuclei Segmentation and Classification in Imbalanced Pathology Image Datasets,"Hyun-Jic Oh, Won-Ki Jeong",337-345,10.1007/978-3-031-43898-1_33,2023,03
180,Fully Bayesian VIB-DeepSSM,"Jadie Adams, Shireen Y. Elhabian",346-356,10.1007/978-3-031-43898-1_34,2023,03
181,Performance Metrics for Probabilistic Ordinal Classifiers,Adrian Galdran,357-366,10.1007/978-3-031-43898-1_35,2023,03
182,Boundary-Weighted Logit Consistency Improves Calibration of Segmentation Networks,"Neerav Karani, Neel Dey, Polina Golland",367-377,10.1007/978-3-031-43898-1_36,2023,03
183,Fine-Tuning Network in Federated Learning for Personalized Skin Diagnosis,"Kyungsu Lee, Haeyun Lee, Thiago Coutinho Cavalcanti, Sewoong Kim, Georges El Fakhri, Dong Hun Lee et al.",378-388,10.1007/978-3-031-43898-1_37,2023,03
184,Deployment of Image Analysis Algorithms Under Prevalence Shifts,"Patrick Godau, Piotr Kalinowski, Evangelia Christodoulou, Annika Reinke, Minu Tizabi, Luciana Ferrer et al.",389-399,10.1007/978-3-031-43898-1_38,2023,03
185,Understanding Silent Failures in Medical Image Classification,"Till J. Bungert, Levin Kobelke, Paul F. Jäger",400-410,10.1007/978-3-031-43898-1_39,2023,03
186,Towards Frugal Unsupervised Detection of Subtle Abnormalities in Medical Imaging,"Geoffroy Oudoumanessah, Carole Lartizien, Michel Dojat, Florence Forbes",411-421,10.1007/978-3-031-43898-1_40,2023,03
187,A Privacy-Preserving Walk in the Latent Space of Generative Models for Medical Applications,"Matteo Pennisi, Federica Proietto Salanitri, Giovanni Bellitto, Simone Palazzo, Ulas Bagci, Concetto Spampinato",422-431,10.1007/978-3-031-43898-1_41,2023,03
188,Deep Learning-Based Air Trapping Quantification Using Paired Inspiratory-Expiratory Ultra-low Dose CT,"Sarah M. Muller, Sundaresh Ram, Katie J. Bayfield, Julia H. Reuter, Sonja Gestewitz, Lifeng Yu et al.",432-441,10.1007/978-3-031-43898-1_42,2023,03
189,Data AUDIT: Identifying Attribute Utility- and Detectability-Induced Bias in Task Models,"Mitchell Pavlak, Nathan Drenkow, Nicholas Petrick, Mohammad Mehdi Farhangi, Mathias Unberath",442-452,10.1007/978-3-031-43898-1_43,2023,03
190,Temporal Uncertainty Localization to Enable Human-in-the-Loop Analysis of Dynamic Contrast-Enhanced Cardiac MRI Datasets,"Dilek M. Yalcinkaya, Khalid Youssef, Bobak Heydari, Orlando Simonetti, Rohan Dharmakumar, Subha Raman et al.",453-462,10.1007/978-3-031-43898-1_44,2023,03
191,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,"Xukun Zhang, Yang Liu, Sharib Ali, Xiao Zhao, Mingyang Sun, Minghao Han et al.",465-474,10.1007/978-3-031-43898-1_45,2023,03
192,Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,"Zifu Wang, Teodora Popordanoska, Jeroen Bertels, Robin Lemmens, Matthew B. Blaschko",475-485,10.1007/978-3-031-43898-1_46,2023,03
193,SwinMM: Masked Multi-view with Swin Transformers for 3D Medical Image Segmentation,"Yiqing Wang, Zihan Li, Jieru Mei, Zihao Wei, Li Liu, Chen Wang et al.",486-496,10.1007/978-3-031-43898-1_47,2023,03
194,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,"Junhao Lin, Qian Dai, Lei Zhu, Huazhu Fu, Qiong Wang, Weibin Li et al.",497-507,10.1007/978-3-031-43898-1_48,2023,03
195,UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,"Yiwen Ye, Yutong Xie, Jianpeng Zhang, Ziyang Chen, Yong Xia",508-518,10.1007/978-3-031-43898-1_49,2023,03
196,Joint Dense-Point Representation for Contour-Aware Graph Segmentation,"Kit Mills Bransby, Greg Slabaugh, Christos Bourantas, Qianni Zhang",519-528,10.1007/978-3-031-43898-1_50,2023,03
197,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,"Zudi Lin, Donglai Wei, Aarush Gupta, Xingyu Liu, Deqing Sun, Hanspeter Pfister",529-539,10.1007/978-3-031-43898-1_51,2023,03
198,Deep Mutual Distillation for Semi-supervised Medical Image Segmentation,"Yushan Xie, Yuejia Yin, Qingli Li, Yan Wang",540-550,10.1007/978-3-031-43898-1_52,2023,03
199,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"Wenqi Zhou, Xiao Zhang, Dongdong Gu, Sheng Wang, Jiayu Huo, Rui Zhang et al.",551-560,10.1007/978-3-031-43898-1_53,2023,03
200,Implicit Anatomical Rendering for Medical Image Segmentation with Stochastic Experts,"Chenyu You, Weicheng Dai, Yifei Min, Lawrence Staib, James S. Duncan",561-571,10.1007/978-3-031-43898-1_54,2023,03
201,Trust Your Neighbours: Penalty-Based Constraints for Model Calibration,"Balamurali Murugesan, Sukesh Adiga Vasudeva, Bingyuan Liu, Herve Lombaert, Ismail Ben Ayed, Jose Dolz",572-581,10.1007/978-3-031-43898-1_55,2023,03
202,DHC: Dual-Debiased Heterogeneous Co-training Framework for Class-Imbalanced Semi-supervised Medical Image Segmentation,"Haonan Wang, Xiaomeng Li",582-591,10.1007/978-3-031-43898-1_56,2023,03
203,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,"Chengyin Li, Yao Qiang, Rafi Ibn Sultan, Hassan Bagher-Ebadian, Prashant Khanduri, Indrin J. Chetty et al.",592-602,10.1007/978-3-031-43898-1_57,2023,03
204,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,"Qingbiao Guan, Yutong Xie, Bing Yang, Jianpeng Zhang, Zhibin Liao, Qi Wu et al.",603-613,10.1007/978-3-031-43898-1_58,2023,03
205,3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching Between 3D and 2D Networks,"Heng Cai, Lei Qi, Qian Yu, Yinghuan Shi, Yang Gao",614-624,10.1007/978-3-031-43898-1_59,2023,03
206,Minimal-Supervised Medical Image Segmentation via Vector Quantization Memory,"Yanyu Xu, Menghan Zhou, Yangqin Feng, Xinxing Xu, Huazhu Fu, Rick Siow Mong Goh et al.",625-636,10.1007/978-3-031-43898-1_60,2023,03
207,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,"Zdravko Marinov, Rainer Stiefelhagen, Jens Kleesiek",637-647,10.1007/978-3-031-43898-1_61,2023,03
208,MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,"Constantin Ulrich, Fabian Isensee, Tassilo Wald, Maximilian Zenk, Michael Baumgartner, Klaus H. Maier-Hein",648-658,10.1007/978-3-031-43898-1_62,2023,03
209,Uncertainty and Shape-Aware Continual Test-Time Adaptation for Cross-Domain Segmentation of Medical Images,"Jiayi Zhu, Bart Bolsterlee, Brian V. Y. Chow, Yang Song, Erik Meijering",659-669,10.1007/978-3-031-43898-1_63,2023,03
210,CorSegRec: A Topology-Preserving Scheme for Extracting Fully-Connected Coronary Arteries from CT Angiography,"Yuehui Qiu, Zihan Li, Yining Wang, Pei Dong, Dijia Wu, Xinnian Yang et al.",670-680,10.1007/978-3-031-43898-1_64,2023,03
211,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,"Zhihao Li, Jiancheng Yang, Yongchao Xu, Li Zhang, Wenhui Dong, Bo Du",681-691,10.1007/978-3-031-43898-1_65,2023,03
212,ACC-UNet: A Completely Convolutional UNet Model for the 2020s,"Nabil Ibtehaz, Daisuke Kihara",692-702,10.1007/978-3-031-43898-1_66,2023,03
213,Automatic Segmentation of Internal Tooth Structure from CBCT Images Using Hierarchical Deep Learning,"SaeHyun Kim, In-Seok Song, Seung Jun Baek",703-713,10.1007/978-3-031-43898-1_67,2023,03
214,Robust T-Loss for Medical Image Segmentation,"Alvaro Gonzalez-Jimenez, Simone Lionetti, Philippe Gottfrois, Fabian Gröger, Marc Pouly, Alexander A. Navarini",714-724,10.1007/978-3-031-43898-1_68,2023,03
215,Self-adaptive Adversarial Training for Robust Medical Segmentation,"Fu Wang, Zeyu Fu, Yanghao Zhang, Wenjie Ruan",725-735,10.1007/978-3-031-43898-1_69,2023,03
216,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,"Reza Azad, Amirhossein Kazerouni, Babak Azad, Ehsan Khodapanah Aghdam, Yury Velichko, Ulas Bagci et al.",736-746,10.1007/978-3-031-43898-1_70,2023,03
217,DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,"Dong Yang, Ziyue Xu, Yufan He, Vishwesh Nath, Wenqi Li, Andriy Myronenko et al.",747-756,10.1007/978-3-031-43898-1_71,2023,03
218,WeakPolyp: You only Look Bounding Box for Polyp Segmentation,"Jun Wei, Yiwen Hu, Shuguang Cui, S. Kevin Zhou, Zhen Li",757-766,10.1007/978-3-031-43898-1_72,2023,03
219,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"Zhe Xu, Donghuan Lu, Jiangpeng Yan, Jinghan Sun, Jie Luo, Dong Wei et al.",3-13,10.1007/978-3-031-43901-8_1,2023,04
220,Devil is in Channels: Contrastive Single Domain Generalization for Medical Image Segmentation,"Shishuai Hu, Zehui Liao, Yong Xia",14-23,10.1007/978-3-031-43901-8_2,2023,04
221,Transformer-Based Annotation Bias-Aware Medical Image Segmentation,"Zehui Liao, Shishuai Hu, Yutong Xie, Yong Xia",24-34,10.1007/978-3-031-43901-8_3,2023,04
222,Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,"Kai Ren, Ke Zou, Xianjie Liu, Yidi Chen, Xuedong Yuan, Xiaojing Shen et al.",35-45,10.1007/978-3-031-43901-8_4,2023,04
223,A General Stitching Solution for Whole-Brain 3D Nuclei Instance Segmentation from Microscopy Images,"Ziquan Wei, Tingting Dan, Jiaqi Ding, Mustafa Dere, Guorong Wu",46-55,10.1007/978-3-031-43901-8_5,2023,04
224,Adult-Like Phase and Multi-scale Assistance for Isointense Infant Brain Tissue Segmentation,"Jiameng Liu, Feihong Liu, Kaicong Sun, Mianxin Liu, Yuhang Sun, Yuyan Ge et al.",56-66,10.1007/978-3-031-43901-8_6,2023,04
225,Robust Segmentation via Topology Violation Detection and Feature Synthesis,"Liu Li, Qiang Ma, Cheng Ouyang, Zeju Li, Qingjie Meng, Weitong Zhang et al.",67-77,10.1007/978-3-031-43901-8_7,2023,04
226,GL-Fusion: Global-Local Fusion Network for Multi-view Echocardiogram Video Segmentation,"Ziyang Zheng, Jiewen Yang, Xinpeng Ding, Xiaowei Xu, Xiaomeng Li",78-88,10.1007/978-3-031-43901-8_8,2023,04
227,Treasure in Distribution: A Domain Randomization Based Multi-source Domain Generalization for 2D Medical Image Segmentation,"Ziyang Chen, Yongsheng Pan, Yiwen Ye, Hengfei Cui, Yong Xia",89-99,10.1007/978-3-031-43901-8_9,2023,04
228,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"Tianxu Lv, Yuan Liu, Kai Miao, Lihua Li, Xiang Pan",100-109,10.1007/978-3-031-43901-8_10,2023,04
229,CAS-Net: Cross-View Aligned Segmentation by Graph Representation of Knees,"Zixu Zhuang, Xin Wang, Sheng Wang, Zhenrong Shen, Xiangyu Zhao, Mengjun Liu et al.",110-119,10.1007/978-3-031-43901-8_11,2023,04
230,One-Shot Traumatic Brain Segmentation with Adversarial Training and Uncertainty Rectification,"Xiangyu Zhao, Zhenrong Shen, Dongdong Chen, Sheng Wang, Zixu Zhuang, Qian Wang et al.",120-129,10.1007/978-3-031-43901-8_12,2023,04
231,MI-SegNet: Mutual Information-Based US Segmentation for Unseen Domain Generalization,"Yuan Bi, Zhongliang Jiang, Ricarda Clarenbach, Reza Ghotbi, Angelos Karlas, Nassir Navab",130-140,10.1007/978-3-031-43901-8_13,2023,04
232,M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,"Malo Alefsen, Eugene Vorontsov, Samuel Kadoury",141-151,10.1007/978-3-031-43901-8_14,2023,04
233,Factor Space and Spectrum for Medical Hyperspectral Image Segmentation,"Boxiang Yun, Qingli Li, Lubov Mitrofanova, Chunhua Zhou, Yan Wang",152-162,10.1007/978-3-031-43901-8_15,2023,04
234,RBGNet: Reliable Boundary-Guided Segmentation of Choroidal Neovascularization,"Tao Chen, Yitian Zhao, Lei Mou, Dan Zhang, Xiayu Xu, Mengting Liu et al.",163-172,10.1007/978-3-031-43901-8_16,2023,04
235,QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,"Peijie Qiu, Satrajit Chakrabarty, Phuc Nguyen, Soumyendu Sekhar Ghosh, Aristeidis Sotiras",173-182,10.1007/978-3-031-43901-8_17,2023,04
236,Consistency-Guided Meta-learning for Bootstrapping Semi-supervised Medical Image Segmentation,"Qingyue Wei, Lequan Yu, Xianhang Li, Wei Shao, Cihang Xie, Lei Xing et al.",183-193,10.1007/978-3-031-43901-8_18,2023,04
237,ACTION++: Improving Semi-supervised Medical Image Segmentation with Adaptive Anatomical Contrast,"Chenyu You, Weicheng Dai, Yifei Min, Lawrence Staib, Jas Sekhon, James S. Duncan",194-205,10.1007/978-3-031-43901-8_19,2023,04
238,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,"Zhenqi He, Mathias Unberath, Jing Ke, Yiqing Shen",206-215,10.1007/978-3-031-43901-8_20,2023,04
239,Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality,"Hu Wang, Congbo Ma, Jianpeng Zhang, Yuan Zhang, Jodie Avery, Louise Hull et al.",216-226,10.1007/978-3-031-43901-8_21,2023,04
240,EchoGLAD: Hierarchical Graph Neural Networks for Left Ventricle Landmark Detection on Echocardiograms,"Masoud Mokhtari, Mobina Mahdavi, Hooman Vaseli, Christina Luong, Purang Abolmaesumi, Teresa S. M. Tsang et al.",227-237,10.1007/978-3-031-43901-8_22,2023,04
241,Class-Aware Feature Alignment for Domain Adaptative Mitochondria Segmentation,"Dan Yin, Wei Huang, Zhiwei Xiong, Xuejin Chen",238-248,10.1007/978-3-031-43901-8_23,2023,04
242,A Sheaf Theoretic Perspective for Robust Prostate Segmentation,"Ainkaran Santhirasekaram, Karen Pinto, Mathias Winkler, Andrea Rockall, Ben Glocker",249-259,10.1007/978-3-031-43901-8_24,2023,04
243,Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,"Hritam Basak, Zhaozheng Yin",260-270,10.1007/978-3-031-43901-8_25,2023,04
244,Few-Shot Medical Image Segmentation via a Region-Enhanced Prototypical Transformer,"Yazhou Zhu, Shidong Wang, Tong Xin, Haofeng Zhang",271-280,10.1007/978-3-031-43901-8_26,2023,04
245,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,"Qixiang Zhang, Yi Li, Cheng Xue, Xiaomeng Li",281-291,10.1007/978-3-031-43901-8_27,2023,04
246,Boundary Difference over Union Loss for Medical Image Segmentation,"Fan Sun, Zhiming Luo, Shaozi Li",292-301,10.1007/978-3-031-43901-8_28,2023,04
