title,paper name,vol,Does the article contain any of these keywords: cancer/tumor/tumour?,notes,Study subject labelled as ‘patient/patients’ in dataset(s),age,sex/gender,ethnicity,geographical location ,dataset quantity,quantity of public datasets,quantity of private datasets,image type in datasets,organ/body part in datasets,sex-specific cancer/organ,location ,location as a healthcare facility,name of healthcare facility,location as other (center/department/laboratory/university/institution/online),name of location as other (center/department/laboratory/university/institution/online),location as large-scale geographical entity,name of location as large-scale geographical entity,location as subnational geographical entity,name of  location as subnational geographical entity,Information found outside article (such as sup material and/or by references,links/sup material 
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,45,2,1,"During both global and local pre-training stages, we pre-train the encoders on the Abdomen-1K [17] dataset. It contains over one thousand CT images which equates to roughly 240,000 2D slices. The CT images have been curated from 12 medical centers and include multi-phase, multi-vendor, and multi-disease cases.Although segmentation masks for liver, kidney, spleen, and pancreas are provided
in this dataset, we ignore these labels during pre-training since we are following the self-supervised protocol.

During the fine-tuning stage, we perform extensive experiments on three datasets
with respect to different regions of the human body:
abd-110 dataset: abdomen, thorax-85 dataset: thorax, HaN dataset: head and neck

ABD-110 is an abdomen dataset from [25] that contains 110 CT images from patients with various abdominal tumors and these CT images were taken during the treatment planning stage. We report the average DSC on 11 abdominal organs (large bowel, duodenum, spinal cord, liver, spleen, small bowel, pancreas, left kidney, right kidney, stomach and gallbladder).
Thorax-85 is a thorax dataset from [5] that contains 85 thoracic CT images. We report the average DSC on 6 thoracic organs (esophagus, trachea, spinal cord, left lung, right lung, and heart).
HaN is from [24] and contains 120 CT images covering the head and neck region. We report the average DSC on 9 organs (brainstem, mandible, optical chiasm, left optical nerve, right optical nerve, left parotid, right parotid, left submandibular gland, and right submandibular gland).

Info outside paper
AbdomenCT-1K
Most existing abdominal organ segmentation datasets have limitations in diversity and scale. In this paper, we present a large-scale dataset that is closer to real-world applications
and has more diverse abdominal CT cases.
consists of 1112 3D CT scans from five existing datasets: LiTS (201 cases) [16], KiTS (300 cases) [17], MSD Spleen (61 cases) and Pancreas (420 cases) [20], NIH Pancreas (80 cases) [21], [22], [23],
and a new dataset from Nanjing University (50 cases). The 50 CT scans in the Nanjing University dataset are from 20 patients with pancreas cancer, 20 patients with colon cancer, and 10 patients with liver cancer. The number of plain phase, artery phase, and portal phase scans are 18, 18, and 14 respectively

Thorax-85
The data sources included in-house CT images (540 cases) and public data derived from the Cancer Image Archive (TCIA [21], 215 cases).",1,0,0,0,1,4,1,0,ct,"abdomen, thorax, head and neck ",0,1,1,0,0,0,0.0,0,0.0,0,1.0,"https://arxiv.org/pdf/2010.14808.pdf

https://arxiv.org/pdf/2012.09279.pdf

https://www.sciencedirect.com/science/article/pii/S0167814021062174"
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,16,1,1,"Idemographic info such as age, gender, details of location of data collection provided outside of paper's content. study subjects are labelled as patients outside paper's content.

We evaluate our method on T2-weighted brain MR and chest X-ray datasets to provide direct comparisons to state-of-the-art methods over a wide range of real anomalies. 
For brain MRI we train on the Human Connectome Project (HCP) dataset [28] which consists of 1113 MRI scans of healthy, young adults acquired as part of a scientific study. 
To evaluate, we use the Brain Tumor Segmentation Challenge 2017 (BraTS) dataset [1], containing 285 cases with either high or low grade glioma, and the ischemic stroke lesion segmentation challenge 2015 (ISLES) dataset [13], containing 28 cases with ischemic stroke lesions. The data from both test sets was acquired as part of clinical routine. The HCP dataset was resampled to have 1mm isotropic spacing to match the test datasets. 
For chest X-rays we use the VinDr-CXR dataset [18] including 22 differen local labels.

Info outside paper
HCP
Our decision to acquire data from twins and non-twin siblings will enable analyses of the heritability of brain circuits and will greatly increasethe power of genetic analyses. However, due to the relatively small size and localized geography of the subject population, HCP faces some extra challenges with respect to subject confidentiality and privacy, especially regarding sensitive data. One likely scenario is that the publicly released HCP dataset will include all neuroimagingdata and most behavioral data, along with subject sex and age range (e.g., 5-year grouping). Information about family relationships, ethnic and racial identity, exact age (year), and potentially sensitive behavioral measures would be restricted to qualified investigators who agree to appropriate limits on storage and distribution of sensitive data. The publicly released data could also include a dataset consisting of only one individual per family, thereby allowing analyses not confounded by unspecified family relationships.

Brats
In 2017, thanks to additional contributions to the BraTS dataset, from CBICA@UPenn and the
University of Alabama in Birmingham (UAB), a validation set was included to facilitate algorithm
fine-tuning following a ML paradigm of training, validation, and testing datasets. Notably, in 2017
the number of cases was doubled with respect to the previous year, amounting to 477 cases, which
was further increased in 2018 with 542 cases, thanks to contributions from MD Anderson Cancer
Center in Texas, the Washington University School of Medicine in St. Louis, and the Tata Memorial
Center in India

VinDr-CXR
The building of VinDr-CXR dataset, as visualized in Fig. 1, is divided into three main steps: (1) data collection, (2) data filtering, and (3) data labeling. Between 2018 and 2020, we retrospectively collected more than 100,000 CXRs in DICOM format from local PACS servers of two hospitals in Vietnam, HMUH and H108. Imaging data were acquired from a wide diversity of scanners from well-known medical equipment manufacturers, including Phillips, GE, Fujifilm, Siemens, Toshiba, Canon, Samsung, and Carestream. The ethical clearance of this study was approved by the Institutional Review Boards (IRBs) of the HMUH and H108 before the study started. The need for obtaining informed patient consent was waived because this retrospective study did not impact clinical care or workflow at these two hospitals and all patient-identifiable information in the data has been removed.

dataset provides info about patient's sex, age, size, weights",1,1,1,0,1,4,3,0,"mri,  x-rays, mr","brain, chest",0,1,1,"{vin-dr cxr: HMUH, H108}",0,0,1.0,{vin-dr cxr: vietnam},0.0,0,1.0,"https://www.sciencedirect.com/science/article/pii/S1053811912001954?via%3Dihub

https://arxiv.org/abs/1811.02629

https://www.sciencedirect.com/science/article/pii/S1361841516301268?via%3Dihub

https://www.nature.com/articles/s41597-022-01498-w

https://static-content.springer.com/esm/art%3A10.1038%2Fs41597-022-01498-w/MediaObjects/41597_2022_1498_MOESM1_ESM.pdf"
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,39,6,1,"demographic information provided in supplementary information.

We adopted the training dataset of HECKTOR 2022 (refer to https://hecktor.grand-cha llenge.org/), including 488 H&N cancer patients acquired from seven medical centers [7], while the testing dataset was excluded as its ground-truth labels are not released. Each patient underwent pretreatment PET/CT and has clinical indicators. We present the distributions of all clinical indicators in the supplementary materials. Recurrence- Free Survival (RFS), including time-to-event in days and censored-or-not status, was provided as ground truth for survival prediction, while PT and MLN annotations were provided for segmentation. The patients from two centers (CHUM and CHUV) were used for testing and other patients for training, which split the data into 386/102 patients in training/testing sets. We trained and validated models using 5-fold cross-validation within the training set and evaluated them in the testing set.

HECKTOR 2022
The data used in this challenge is multi-centric (9 centers in total), including four centers in Canada [Vallières et al. 2017], two centers in Switzerland [Castelli et al. 2017; Bogowicz et al. 2017], two centers in France [Hatt et al. 2019; Legot et al. 2018], and one center in USA [Ger et al. 2019] for a total of XXX patients with annotated GTVp and GTVn.

The clinical information for each patient is contained in the hecktor2022_clinical_info_training.csv, including center, gender, age, weight, tobacco and alcohol consumption, performance status (Zubrod), HPV status, treatment (surgery and/or chemotherapy in addition to the radiotherapy that all patients underwent).  Note that some information may be missing for some patients. 

Data were collected from 9 centers :
Hôpital général juif, Montréal, CA (HGJ)
Centre hospitalier universitaire de Sherbooke, Sherbrooke, CA (CHUS)
Hôpital Maisonneuve-Rosemont, Montréal, CA (HMR)
Centre hospitalier de l’Université de Montréal, Montréal, CA (CHUM)
Centre Hospitalier Universitaire Vaudois, CH (CHUV)
Centre Hospitalier Universitaire de Poitiers, FR (CHUP)
MD Anderson Cancer Center, Houston, Texas, USA (MDA)
UniversitätsSpital Zürich, CH (USZ)
Centre Henri Becquerel, Rouen, FR (CHB)
",1,1,1,0,1,1,1,0,"pet/ct, ","head and neck, h&n",0,1,1,"chum, chuv",0,0,1.0,"canada, switzerland, france, usa",0.0,0,1.0,"https://static-content.springer.com/esm/chp%3A10.1007%2F978-3-031-43987-2_39/MediaObjects/554075_1_En_39_MOESM1_ESM.pdf

https://hecktor.grand-challenge.org/"
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,59,1,1,"We use the publicly available Decath-Pancreas dataset of 273 segmentations from patients who underwent pancreatic mass resection [24].

Info outside the paper
Images were provided by Memorial Sloan Kettering Cancer Center (New York, NY, USA) and
were previously reported in radiomic applications [24, 25, 26]. Four hundred and twenty portal venous phase CT scans were obtained with the following reconstruction and acquisition parameters: pitch/table speed 0.984–1.375/39.37–27.50 mm; automatic tube current modulation range, 220–380 mA; noise index, 12.5–14;20 kVp; tube rotation speed, 0.7–0.8 ms; scan delay, 80–85 s; and axial slices reconstructed at 2.5 mm intervals. The pancreatic parenchyma and pancreatic mass (cyst or tumour) were manually segmented in each slice by an expert abdominal radiologist using the Scout application [27].

",1,0,0,0,0,1,1,0,segmentations,pancreas,0,1,0,0,1,memorial sloan kettering cancer center,1.0,usa,1.0,new york,1.0,https://arxiv.org/abs/1902.09063
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,46,6,1,"Based on stateof- the-art multiple instance learning architectures and two thyroid cancer data
sets, an exhaustive study was conducted considering a range of common data augmentation strategies.
In this work, we aimed at distinguishing different nodular lesions of the thyroid, focusing especially on benign follicular nodules (FN) and papillary carcinomas (PC).
The data set utilized in the experiments consists of 80 WSIs overall. One half (40) of the data set consists of frozen and the other half (40) of paraffin sections [5]), representing the different modal
ities. All images were acquired during clinical routine at the Kardinal Schwarzenberg Hospital. Procedures were approved by the ethics committee of the county of Salzburg (No. 1088/2021). The mean and median age of patients at the date of dissection was 47 and 50 years, respectively. The data set comprised 13 male and 27 female patients, corresponding to a slight gender imbalance. They were labeled by an expert pathologist
with over 20 years experience.",1,1,1,0,1,2,0,0,"wsis, wsi",thyroid,0,1,1,kardinal schwarzenberg hospital,0,0,0.0,0,1.0,salzburg,0.0,0
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,55,1,1,"We train our approach at large scale with more than 50,000 computed tomography (CT) scans and validate it on two different applications: 1) Tracking of generic lesions based on the DeepLesion dataset, including liver tumors, lung nodules, enlarged lymph-nodes, for which we report highest matching accuracy of 92%, with localization accuracy that is nearly 10% higher than the state-ofthe-
art; and 2) Tracking of lung nodules based on the NLST dataset for which we achieve similarly high performance.

we (1) train a pixel-wise self-supervised system using a very large and diverse dataset of 52,487 CT volumes and (2) evaluate on two publicly available datasets.

We train the universal and fine-grained anatomical point matching model using an in-house CT dataset (VariousCT). The training dataset contains 52,487 unlabeled 3D CT volumes capturing various anatomies, including chest, head, abdomen, pelvis, and more.

For NLST, we randomly selected a subset of 1045 test images coming from 420 patients with up to 3 studies

The authors thank the National Cancer Institute for access to NCI’s data collected by the National Lung Screening Trial (NLST). The statements contained herein are solely those of the authors and do not represent or imply concurrence or endorsement by NCI.",1,0,0,0,0,3,2,1,"tomography, ct","liver, lung, lymp nodes",0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,29,8,1,"GSP1000 Processed Connectome. It publicly released preprocessed restingstate fMRI data of 1000 healthy right-handed subjects with an average age 21.5±2.9 years and approximately equal numbers of males and females from the Brain Genomics Superstruct Project (GSP) [5], where the concrete image acquisition parameters and preprocessing procedures can be found as well. Specifically, a slightly modified version of Yeo’s Computational Brain Imaging Group (CBIG) fMRI preprocessing pipeline (https://github.com/bchcohenlab/CBIG) was employed to obtain either one or two preprocessed resting-state fMRI runs of each subject that had 120 time points per run and were spatially normalized
into the MNI152 template with 2mm3 voxel size. We downloaded and used the first-run preprocessed resting-state fMRI of each subject for the following analysis.

BraTS 2020. It provided an open-access pre-operative imaging training dataset to segment brain tumors of glioblastoma (GBM, belonging to high grade glioma) and low grade glioma (LGG) patients, as well as to predict overall survival time of GBM patients [18]. This training dataset contained 133 LGG and 236 GBM patients, and each patient had four MRI modalities, including T1, post-contrast T1-weighted, T2-weighted, and T2 Fluid Attenuated Inversion Recovery",1,1,1,0,0,2,2,0,"fmri, mri, t1, t2",brain,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Prompt-Based Grouping Transformer for Nucleus Detection and Classification,55,8,1,"CoNSeP1 [10] is a colorectal nuclear dataset with three types, consisting of 41H&E stained image tiles from 16 colorectal adenocarcinoma whole-slide images (WSIs). 
BRCA-M2C2 [1] is a breast cancer dataset with three types and consists of 120 image tiles from 113 patients. 
Lizard3 [9] has 291 histology images of colon tissue from six datasets, containing nearly half a million labeled nuclei in H&E stained colon tissue. ",1,0,0,0,0,3,3,0,"h&e, wsis, wsi, image titles, stained image tiles, histology images,","colorectal, breast, colon  ",0,0,0,0,0,0,0.0,0,0.0,0,0.0,"https://warwick.ac.uk/fac/cross_fac/tia/data/hovernet/.
 https://github.com/TopoXLab/Dataset-BRCA-M2C/.
 https://warwick.ac.uk/fac/cross_fac/tia/data/lizard/."
Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,33,9,1,"This dataset consists of supine breast MR images simulating surgical deformations of 11 breasts from 7 healthy volunteers. Volunteers (ages 23–57) were enrolled in a study approved by the Institutional Review Board at Vanderbilt University.

This dataset consists of supine breastMR images simulating surgical deformations from one breast cancer patient. A 71-year-old patient with invasive mammary carcinoma in the left breast was enrolled in a study approved by the Institutional Review Board at Vanderbilt University.",1,1,0,0,1,2,0,0,mr,breast,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0
Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,29,5,1,"We trained our model using two publicly available brain T1w MRI datasets, including FastMRI+ (131 train, 15 val, 30 test) and IXI (581 train samples), to capture the healthy distribution. Performance evaluation was done on a large stroke T1-weighted MRI dataset, ATLAS v2.0 [14], containing 655 images",0,0,0,0,0,2,2,0,"mri, t1",brain,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,13,5,,"Dataset and Preprocessing: The T2-weighted MR images of 39 participants including 23 patients with NPSLE and 16 HCs were gathered from our affiliated hospital. All images were acquired at an average age of 30.6 years on a SIGNA 3.0T scanner with an eight-channel standard head coil.

",1,1,0,0,1,1,0,0,"mr, t2",no organ mentioned,0,1,1,,0,0,,,,,,
SLPD: Slide-Level Prototypical Distillation for WSIs,25,1,0,"We conduct experiments on two public WSI datasets2. TCGANSCLC dataset includes two subtypes in lung cancer, Lung Squamous Cell Carcinoma and Lung Adenocarcinoma, with a total of 1,054 WSIs. TCGA-BRCA dataset includes two subtypes in breast cancer, Invasive Ductal and Invasive
Lobular Carcinoma, with a total of 1,134 WSIs",0,0,0,0,0,2,2,0,wsi,"lung, breast",0,0,0,0,0,0,,,,0,0.0,0
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,69,1,0,"We evaluated SAMix on two medical image datasets. Fundus [5,14] is an optic disc and cup segmentation task. Following [21], we consider images collected from different scanners as distinct domains. The source domain contains 400 images of the REFUGE [14] training set.We took 400 images from the REFUGE validation set and 159 images of RIM-One [5] to form the target domain 1 & 2. We center crop and resize the disc region to 256 × 256 as network input. Camelyon [1] is a tumor tissue binary classification task across 5 hospitals. We use the training set of Camelyon as the source domain (302, 436 images from hospitals 1 − 3) and consider the validation set (34, 904 images from hospital 4) and test set (85, 054 images from the hospital 5) as the target domains 1 and 2, respectively. 
",0,0,0,0,1,4,0,0,"segmentations, ",tissue,0,1,0,0,0,0,,,,0,0.0,0
Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,6,10,0,"We collected 270 volumetric T1-weighted MRI and 267 thinslice CT head scans with bony reconstruction performed in pediatric patients under routine scanning protocols1. We targeted the age group from 6–24 months since pediatric patients are more susceptible to ionizing radiation and experience a greater cancer risk (up to 24% increase) from radiation exposure [7].

The dataset comprises brain MR and CT volumes from 262 subjects. 13 MRICT volumes from the same patients that were captured less than three months apart are registered using rigid registration algorithms. The dataset is divided into 249, 1 and 12 subjects for training, validating and testing se",1,1,0,0,0,1,0,0,"mri, t1, ct, mr, ct volumes",brain,0,0,0,0,0,0,,,,0,0.0,0
Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,17,6,0,"Our dataset contained 282 consecutive patients who underwent thyroid nodule examination at Nanjing Drum Tower Hospital. All patients performed dynamic CEUS examination by an experienced sonographer using an iU22 scanner (Philips Healthcare, Bothell, WA) equipped with a linear transducer
L9-3 probe. These 282 cases included 147 malignant nodules and 135 benign nodules. On the one hand, the percutaneous biopsy based pathological examination was implemented to determine the ground-truth of malignant and benign. On the other hand, a sonographer with more than 10 years of experience manually annotated the nodule lesion mask to obtain the pixel-level groundtruth
of thyroid nodules segmentation. All data were approved by the Institutional Review Board of Nanjing Drum Tower Hospital, and all patients signed the informed consent before enrollment into the study.",1,0,0,0,1,1,0,0,"ultrasound, ceus",thyroid,0,1,1,Nanjing drum tower hospital,0,0,0.0,0,0.0,0,0.0,0
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,32,2,0,"Extensive experiments are conducted, in which we achieve an overall accuracy of 90.9% on an in-house dataset of four CT phases and seven liver lesion classes. 
The employed single-phase annotated dataset is collected from Sir Run Run Shaw Hospital (SRRSH), affiliated with the Zhejiang University School of Medicine, and has received the ethics approval of IRB. The collection process can be found in supplementary materials

After the pre-processing unit with window Dice threshold of 0.3, we screen 761 lesions from 444 patients with four phases of CTs, seven types of lesions (13.2% of HCC, 5.3% of HM, 11.3% of ICC, 22.6%of HH, 31.1% of HC, 8.7% of FNH, and 7.8% of HA), and totally 4820 slices. To handle the imbalance of dataset, we randomly select 586 lesions as the training and validation set with no more than 700 axial slices in each lesion type, and the rest 175 lesions constitute the test set. Lesions from the same patient are either assigned to the training and validation set or the test set, but not both.",1,0,0,0,1,1,0,1,ct,liver,0,1,1,"sir run run shaw hospital (srrsh), zhejiang university school of medicine",1, zhejiang university school of medicine,0.0,0,0.0,0,0.0,0
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,4,4,0,"The experiments on the public datasets demonstrate that our UML outperforms existing methods in terms of both accuracy and robustness.

We evaluate the our UML network on two datasets REFUGE [14] and ISPY-1 [13]. REFUGE contains two tasks, classification of glaucoma and segmentation of optic disc/cup in fundus images. The overall 1200 images were equally divided for training, validation, and testing.
 The tasks of ISPY-1 are the pCR prediction and the breast tumor segmentation. A total of 157 patients who suffer the breast cancer are considered - 43 achieve pCR and 114 non-pCR. 

Info outside the paper
REFUGE dataset
The REFUGE challenge database consists of 1200 retinal CFPs stored in JPEG format, with 8 bits per color channel, acquired by ophthalmologists or technicians from patients sitting upright and using one of two devices- These pictures correspond to Chinese patients (52% and 55% female in offline and online test sets, respectively) visiting eye clinics, and were retrieved retrospectively from multiple sources, including several hospitals and clinical studies. Only high-quality images were selected to ensure a proper labelling, and any personal and/or device information was removed for anonymization.

ISPY-1 dataset
Clinical and MRI data from the ISPY1 clinical trial of patients with breast cancer. 
Clinical Data as a XLS file with the following fields:

Age (Years)
Race, encoded as:
1 = Caucasian
3 = African American
4 = Asian
5 = Native Hawaiian
6 = American Indian
50 = Multiple race",1,0,0,0,0,2,2,0,"fundus, segmentation, ","breast, eye",0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,58,3,0,"note: paper refs to wrong dataset (look further down)

We used the public COVID-19 segmentation benchmark [15] to verify the proposed UCI. It is collected from two public resources [5,8] on chest CT images available on The Cancer Imaging Archive (TCIA) [4]. All CT images were acquired without intravenous contrast enhancement from patients with positive Reverse Transcription Polymerase Chain Reaction (RT-PCR) for SARSCoV-2. In total, we used 199 CT images including 149 training images and 50 test images. We also used two chest x-ray-based classification datasets including
ChestX-ray14 [18] and ChestXR [1] to assist the UCI training. The ChestXray14 dataset comprises 112,120 X-ray images showing positive cases from 30,805 patients, encompassing 14 disease image labels pertaining to thoracic and lung ailments. An image may contain multiple or no labels. The ChestXR dataset consists of 21,390 samples, with each sample classified as healthy, pneumonia, or COVID-19.

Info outside the paper
Two public resources[5,8]
Cinical data: age, sex, race, zip, weight.
The average age in the cohort was 54.3 years old (range 19–91) with an even sex distribution (52 Male, 53 Female). The worldwide incidence is reported to be close to 1:1, with a 50% increase in hospitalizations, ICU stays, and mortality among males10. The racial characteristics of the cohort are presented in Fig. 1 in comparison to the total population of Arkansas and the current characteristics of the state-wide infected population. The average BMI in the cohort is 33.1 (18.7–64.9), well within obese range (30.0 or higher). Key Comorbidities include burns (2%), malnutrition (3%), pregnancy (4%), chronic kidney disease (11%), diabetes (21%), organ transplant (3%), and cancer (24%).
The overall ICU admission rate was 28% (29/105). The Average age among those admitted to the ICU was 58 (range 25–89), slightly higher than the average for the cohort as a whole. The racial breakdown of ICU admissions included 28% of the white patients, 25% of the black, 50% of other, and 100% of Pacific islanders. The ICU population was 66% male and 33% female and included 1 pregnant patient. Forty three percent of patients admitted to the ICU had BMI greater than 30. Of the black patients, 21% had diabetes and 29% chronic renal disease, while among white patients the highest percentage comorbidities were cancer (10%) and diabetes (10%). The ICU mortality rate was 34.4% (10/29) which is 1.5 times the national average of 23.6%11. The overall mortality rate was 10% (10/105) and all 10 patients in the mortality group were first admitted to ICU. Arkansan males were 1.95 times more likely to go to ICU (19/52 vs. 10/53). Our data shows an almost even overall mortality rate among males (5/53) and females (5/52). The data also suggest that once in the ICU, female mortality occurs at a rate 1.9 times that of males (5/19 vs. 5/10). 
COVID-19-AR image collection: Image data were extracted from the clinical PACS (Sectra AB, Linkoping, Sweden) at the University of Arkansas for Medical Sciences using Digital Imaging and Communications in Medicine (DICOM) query/retrieve software. All image data were de-identified and stored in DICOM standard format17 on TCIA as collection COVID-19-AR18. All clinical data were obtained from the Arkansas Clinical Data Repository (AR-CDR)19. The AR-CDR is a research data warehouse that provides a single and secure source of data for use in clinical and translational research; housing data for this project that are extracted from the EPIC (Epic Systems Inc, Verona, WI) electronic health record (EHR) system and legacy systems.

https://www.nature.com/articles/s41467-020-17971-2/tables/1
Patient cohorts in model development and testing: demographic values, center/location, age, gender, demographic distribution pr training, validation and testing 

TCIA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3824915/
ChestX-ray14 and ChestXR
ChestX-ray14 refs to Chestx-ray8 in the paper and not ray14. Ray8 contains (taken from ref): In this paper, we present a new chest X-ray database, namely “ChestX-ray8”, which comprises 108,948 frontalview X-ray images of 32,717 unique patients with the textmined eight disease image labels (where each image can have multi-labels), from the associated radiological reports
using natural language processing

The link to ray 14 describes the dataset as: ChestX-ray14 is a medical imaging dataset which comprises 112,120 frontal-view X-ray images of 30,805 (collected from the year of 1992 to 2015) unique patients with the text-mined fourteen common disease labels, mined from the text radiological reports via NLP techniques. It expands on ChestX-ray8 by adding six additional thorax diseases: Edema, Emphysema, Fibrosis, Pleural Thickening and Hernia.
ChestXR ",1,0,0,0,0,"3 (4, since one dataset is collected from two public datasets)",4,0,"ct, x-rays, segmentations",chest,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,66,10,0,"Manifold Learning. We trained our model with a large dataset of 3500 CTs of
patients with head-and-neck cancer, more exactly 2297 patients from the publicly
available The Cancer Imaging Archive (TCIA) [1,6,16,17,28,32] and 1203 from
private internal data, after obtention of ethical approbations. We split this data
into 3000 cases for training, 250 for validation, and 250 for testing. We focused
CT scans on the head and neck region above shoulders, with a resolution of
80×96×112, and centered on the mouth after automatic segmentation using a
pre-trained U-Net [22]. The CTs were preprocessed by min-max normalization
after clipping between -1024 and 2000 Hounsfield Units (HU).

3D Reconstruction. To evaluate our approach, we used an external private cohort
of 80 patients who had undergone radiotherapy for head-and-neck cancer, with
their consent. Planning CT scans were obtained for dose preparation, and CBCT
scans were obtained at each treatment fraction for positioning with full gantry
acquisition. As can be seen in Fig. 3 and the supplementary material, all these
cases are challenging as there are large changes between the original CT scan
and the CBCT scans. We identified these cases automatically by comparing the
CBCTs with the planning CTs",1,0,0,0,0,3,1,2,"ct, mri, cbct","head, neck, brain ",0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,64,8,1,"The Colored MNIST is an extension to the classic MNIST dataset [3], which contains binary images of handwritten digits. The Colored MNIST includes colored images of the same digits, where each number and background have a color assignment. We present results of the experiments with five distinct colors and five digits of MNIST (0–4). To enhance computational efficiency and expedite experiments, we utilized only 1% of the MNIST images, which were sampled at random.

HER2 Dataset. Human epidermal growth factor receptor 2 (HER2 or HER2/neu) is a protein involved in normal cell growth, which plays an important role in the diagnosis and treatment of breast cancer [8]. The dataset consists
of 241 patches extracted from 64 digitized slides of breast cancer tissue which were stained with HER2 antibody. Each tissue slide has been digitized at three
different sites using three different whole slide imaging systems, evaluated by 7 pathologists on a 0–100 scale, and following clinical practice labeled as HER2 Class 1, 2, or 3 (based on mean pathologists’ scores with cut-points at 33 and 66). 
We use a subset of this dataset consisting of 672 images (the remainder is held out for future research). Because the intended purpose is finding subgroupsin the given dataset only, a separate test set is not used.  We refer to [4,8] for more details about this dataset.
This retrospective human subject dataset has been made available to us by the authors of the prior studies [4,8], who are not associated with this paper. Appropriate ethical approval for the use of this material in research has been obtained.

The authors would like to thank Dr. Marios Gavrielides for providing access to the HER2 dataset and for helpful discussion. This project was supported n part by an appointment to the Research Participation Program at the U.S. Food and Drug Administration administered by the Oak Ridge Institute for Science and Education through an interagency agreement between the U.S. Department of Energy and the U.S. Food and Drug Administration. XS acknowledges support from
the Hightech Agenda Bayern.

Info outside paper
MNIST dataset (referenced link was not accessable)
",0,0,0,0,0,2,1,1,wsi,breast,0,0,0,0,0,0,0.0,0,0.0,0,1.0,https://www.sciencedirect.com/science/article/pii/S0262885604000721?via%3Dihub
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,25,9,1,"To further validate the proposed solution, we acquired and publicly released two datasets captured using a custom-designed, portable stereo laparoscope system.

our first newly acquired dataset, named Jerry, contains 1200 sets
of images. Since it is important to report errors in 3D and in millimeters, we recorded another dataset similar to Jerry but also including ground truth depth map for all frames by using structured-lighting system [8]—namely the Coffbee dataset.

[8] https://arxiv.org/pdf/2208.08407.pdf
Provides info about 2 datasets: SCARED and LATTE, not Coffbee.",0,0,0,0,0,2,0,0,"laparoscopy, 3d, 2d",0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Multi-scale Prototypical Transformer for Whole Slide Image Classification,58,6,1,"To evaluate the effectiveness ofMSPT, we conducted experiments on two public dataset, namely Camelyon16 [24] and TCGA-NSCLC. Camelyon16 is a WSI dataset for the automated detection of metastases in lymph node tissue slides. It includes 270 training
samples and 129 testing samples. 
The TCGA-NSCLC dataset includes two sub-types of lung cancer, i.e., Lung Squamous Cell Carcinoma (TGCA-LUSC) and Lung Adenocarcinoma (TCGA-LUAD). We collected a total of 854 diagnostic slides from the National Cancer Institute Data Portal (https:// portal.gdc.cancer.gov). ",0,0,0,0,1,2,2,0,"wsi, ","lymp nodes, lung",0,1,0,0,1,national cancer institute data portal ,0.0,0,0.0,0,0.0,0
